报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),913157,618563,351741,130608,770514,460635,238643,79625,568766,333625,187553,71337,451651,257335,133383,49416,364169,226814,128983,50616,327616,198439,109459,41162,278737,184572,106366,43672,264427,172126,102206,36127,199721,120247,73034,36273,172467,102289,24236,131845,124956,
营业收入(万元),913157,618563,351741,130608,770514,460635,238643,79625,568766,333625,187553,71337,451651,257335,133383,49416,364169,226814,128983,50616,327616,198439,109459,41162,278737,184572,106366,43672,264427,172126,102206,36127,199721,120247,73034,36273,172467,102289,24236,131845,124956,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),871882,587444,356556,144084,730631,433566,242846,91879,531859,314686,188617,80055,420873,246426,139322,56395,347024,218132,131167,55183,301866,185912,107819,44019,255036,168144,101424,45416,243626,160359,99208,40195,185672,113006,70276,35812,159911,95612,25628,125897,118141,
营业成本(万元),615722,429026,256143,99941,474443,287806,151795,51918,322314,192264,111331,44732,245311,145637,77479,29099,200343,129283,77062,30505,173509,110936,62536,23411,149800,103544,60955,25362,152908,104883,64037,23718,116467,70708,44066,23984,101302,62512,15480,77564,78280,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),104111,65917,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),6009,3603,2076,578,6376,3927,2023,516,5388,2091,951,314,3630,1873,885,233,3364,1672,853,304,2906,1637,931,275,2772,1632,834,343,2153,1225,638,231,658,195,108,32,286,152,29,296,131,
销售费用(万元),121984,75775,47320,20007,126675,69693,43808,19034,109060,60765,38234,16798,90662,51364,31325,13607,79068,45989,27267,12104,69037,38234,22054,10152,55228,33461,20636,10158,49022,29184,18210,8492,37501,22929,13953,5879,32687,18737,5657,25803,22928,
