报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),40271,25978,44061,28339,19471,42859,47323,39492,
营业收入(万元),40271,25978,44061,28339,19471,42859,47323,39492,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),32942,21072,36646,23774,16517,35636,40465,33816,
营业成本(万元),27018,17091,28648,18501,13008,27736,32326,26651,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),311,230,419,293,182,249,291,116,
销售费用(万元),1406,903,1612,990,692,1798,1647,1652,
管理费用(万元),4212,2900,5761,3942,2685,5775,5723,4697,
财务费用(万元),-38,-20,57,48,53,145,307,511,
资产减值损失(万元),33,-32,149,-1,-102,-67,171,189,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,--,-1,-1,-1,33,28,10,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),7333,4909,7414,4564,2952,7256,6885,5686,
营业外收入(万元),51,44,319,137,106,250,140,92,
营业外支出(万元),2,0,35,30,22,56,73,56,
非流动资产处置损失(万元),--,--,--,--,--,1,--,--,
利润总额(万元),7382,4953,7698,4671,3036,7449,6952,5723,
所得税费用(万元),982,680,920,564,354,909,764,660,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),6400,4272,6777,4107,2682,6540,6188,5063,
归属于母公司所有者的净利润(万元),6400,4272,6710,4040,2615,5638,5399,4305,
被合并方在合并前实现净利润(万元),--,--,223,--,--,3006,2631,--,
少数股东损益(万元),--,--,67,67,67,902,789,759,
基本每股收益,0.94,0.63,0.99,0.6,0.39,--,--,--,
稀释每股收益,0.94,0.63,0.99,0.6,0.39,--,--,--,
