报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),48470,29678,10018,69097,44122,27686,9247,67345,44634,70486,66240,54647,52726,41865,28210,20056,
营业收入(万元),48470,29678,10018,69097,44122,27686,9247,67345,44634,70486,66240,54647,52726,41865,28210,20056,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),46019,28391,12550,62200,41634,26333,11621,60768,42103,63605,59438,48399,45594,36049,24597,17685,
营业成本(万元),33989,21074,8640,46875,30719,19682,7693,44692,29848,46723,43870,36617,36030,28368,19180,13429,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),290,210,75,1201,71,20,182,1775,1135,1988,2012,1794,1794,1343,922,639,
销售费用(万元),7722,4843,2331,9310,6877,4302,2086,9978,7616,11004,9310,6850,4814,4077,3228,2570,
管理费用(万元),4929,2975,1595,5610,4372,2782,1670,5093,3805,4806,4426,3335,3032,2287,1250,1034,
财务费用(万元),-909,-675,-92,-885,-490,-423,-10,-921,-456,-959,-253,-242,-124,-41,-5,-1,
资产减值损失(万元),-2,-37,--,90,85,-30,--,151,154,44,73,47,49,15,22,14,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资收益(万元),228,125,95,--,--,--,--,--,--,--,--,--,--,0,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),2679,1412,-2437,6897,2488,1353,-2375,6577,2532,6881,6802,6247,7132,5816,3612,2371,
营业外收入(万元),170,160,144,118,104,95,43,128,78,77,154,172,68,62,51,9,
营业外支出(万元),33,29,50,108,70,61,84,117,76,59,54,47,20,8,15,45,
非流动资产处置损失(万元),18,15,--,38,38,29,--,37,35,4,9,12,15,7,6,5,
利润总额(万元),2816,1543,-2343,6907,2523,1387,-2415,6589,2533,6899,6902,6372,7180,5869,3649,2335,
所得税费用(万元),864,468,-586,1850,782,475,-583,1780,736,1882,1823,1584,1801,1367,781,426,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),1953,1076,-1757,5058,1740,912,-1833,4809,1797,5017,5079,4788,5380,4502,2867,1909,
归属于母公司所有者的净利润(万元),1953,1076,-1757,5058,1740,912,-1833,4809,1797,5017,5079,4788,5380,4502,2867,1909,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
基本每股收益,0.15,0.08,-0.26,1.01,0.35,0.18,-0.37,0.96,0.36,1,1.02,0.96,1.08,0.9,0.74,0.65,
稀释每股收益,0.15,0.08,-0.26,1.01,0.35,0.18,-0.37,0.96,0.36,1,1.02,0.96,1.08,0.9,0.74,0.65,
