报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),54528,30772,50137,33263,50601,26844,53626,45331,40809,
营业收入(万元),54528,30772,50137,33263,50601,26844,53626,45331,40809,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),50250,28791,45193,29536,44696,23306,49744,40959,36816,
营业成本(万元),38337,21681,30825,20251,31628,16805,36191,31508,29379,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),349,219,424,243,390,228,297,207,211,
销售费用(万元),6162,3812,7811,4771,6872,3035,5570,4029,2799,
管理费用(万元),4564,2729,5074,3571,5145,2647,5013,4288,3775,
财务费用(万元),351,246,506,409,646,395,515,479,412,
资产减值损失(万元),486,104,553,289,16,195,2158,448,239,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,183,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),4278,1982,5127,3727,5905,3538,3882,4371,3993,
营业外收入(万元),196,173,374,222,270,346,141,69,87,
营业外支出(万元),17,13,234,143,86,28,94,50,22,
非流动资产处置损失(万元),9,6,67,66,34,2,30,18,0,
利润总额(万元),4457,2141,5266,3807,6089,3856,3930,4390,4058,
所得税费用(万元),754,416,997,689,1193,787,1167,782,737,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),3703,1725,4269,3118,4895,3069,2762,3609,3321,
归属于母公司所有者的净利润(万元),3703,1725,4269,3118,4895,3069,2762,3609,3321,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.41,0.19,0.47,0.35,0.54,0.34,--,--,--,
稀释每股收益,0.41,0.19,0.47,0.35,0.54,0.34,--,--,--,
