报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),872005,469442,1458431,1084581,743758,401103,1245856,896034,616878,342489,1129438,812239,564590,319373,981719,727747,502680,279728,840159,628655,440266,247370,706959,609056,551551,448289,
营业收入(万元),872005,469442,1458431,1084581,743758,401103,1245856,896034,616878,342489,1129438,812239,564590,319373,981719,727747,502680,279728,840159,628655,440266,247370,706959,609056,551551,448289,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),618894,332348,1056110,800125,540006,288900,914367,657137,442254,247436,837581,596136,408454,232467,741207,546790,375083,207581,650544,487229,340605,189581,558652,491821,456758,346046,
营业成本(万元),461189,250201,792073,592363,409863,221865,698320,498976,344931,189688,655724,461525,316613,178239,585037,432187,295606,164979,510551,382854,266551,148520,443428,390402,369614,275973,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
