报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),813092,625108,426930,239936,885529,685471,477253,265498,1015678,779268,533292,297636,1121805,865011,590737,321404,1211738,928420,628531,341945,1271646,962985,653400,354854,1291344,971042,658965,359883,1209192,901996,609621,331053,1004050,739648,497859,264830,876663,645687,436412,768547,568726,618346,473030,
营业收入(万元),813092,625108,426930,239936,885529,685471,477253,265498,1015678,779268,533292,297636,1121805,865011,590737,321404,1211738,928420,628531,341945,1271646,962985,653400,354854,1291344,971042,658965,359883,1209192,901996,609621,331053,1004050,739648,497859,264830,876663,645687,436412,768547,568726,618346,473030,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
营业总成本(万元),848229,624790,424167,233718,932040,708649,484344,265694,1025173,778979,531779,294941,1158447,872828,584363,315617,1239559,931919,624164,338365,1265981,958713,649292,351824,1298729,981326,665276,357611,1187484,881820,590456,319536,976312,720294,480304,254672,851882,626655,420480,739007,545582,587416,462496,
营业成本(万元),608349,465343,317394,178770,698996,536800,369674,206752,781071,601200,411375,232537,870215,665757,449724,245537,950659,723216,488182,267948,1004745,762586,517572,283234,1029222,777243,528436,290774,964122,720199,485246,265926,795149,585979,393424,211734,694337,512572,345302,610990,454242,493778,376028,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
营业税金及附加(万元),3175,2465,1598,897,4272,3322,2460,1614,5142,3612,3100,2350,7480,5969,4230,2492,8182,6303,4543,2811,10084,7837,5614,3140,10944,7842,5519,3101,9596,7060,4861,2729,7587,5627,3929,2057,6578,4692,3161,5197,3673,3910,2822,
销售费用(万元),167222,125391,83669,44050,179052,133480,89026,46354,190758,140335,94802,49931,206299,160330,103058,53093,214713,162209,105741,54517,200450,154091,102468,53052,209465,160299,107585,52390,177047,126620,82532,42021,145937,106004,68745,34086,123359,89110,58614,99200,69922,79698,64810,
