报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),9781,8502,6633,280939,337227,206414,66730,312510,215001,112560,29029,121468,73643,29530,10492,30141,6747,2621,632,26203,25947,22823,8557,72487,38667,27615,6803,32078,21848,14889,3139,33565,23093,14645,23178,15052,14057,5979,
营业收入(万元),9781,8502,6633,280939,337227,206414,66730,312510,215001,112560,29029,121468,73643,29530,10492,30141,6747,2621,632,26203,25947,22823,8557,72487,38667,27615,6803,32078,21848,14889,3139,33565,23093,14645,23178,15052,14057,5979,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
营业总成本(万元),35234,25112,12461,241301,256961,158409,54010,239125,170061,90644,23695,101510,60039,27261,10024,33132,10059,6423,2629,46175,24606,19238,7129,62323,28363,19447,5197,23244,14419,9925,1917,23511,15000,8863,15184,9575,9525,3273,
营业成本(万元),5483,5054,4352,188117,228331,139127,46365,204853,146491,75341,20010,86407,52895,21976,7759,22632,3755,1929,524,21435,17190,15116,5989,51964,25183,18040,4850,19259,13086,9236,1769,19281,12222,6988,11882,8009,7792,2929,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
研发费用(万元),5300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,
营业税金及附加(万元),21,21,4,615,468,369,32,451,128,108,19,258,117,22,9,168,21,3,3,196,173,160,2,633,148,52,6,106,10,1,0,93,46,44,41,27,32,12,
销售费用(万元),1131,777,225,1758,1121,722,138,947,970,262,116,717,566,339,124,388,205,89,67,397,318,229,100,656,339,182,59,387,257,181,82,381,286,172,368,211,101,57,
管理费用(万元),4910,8001,4276,18897,12061,8234,3458,18089,12003,6625,2397,10718,8606,3204,1564,5049,3381,2596,1054,8314,5323,3310,1717,6482,3739,1942,637,4474,1954,1096,487,2795,1766,1081,2364,1310,1351,126,
财务费用(万元),10655,7422,3320,9229,7688,4955,2581,6207,4905,2828,824,2367,1793,924,147,2898,1682,1277,819,4689,1190,725,-263,288,-598,-349,-350,-1558,-1150,-786,-535,379,227,173,416,136,63,-5,
资产减值损失(万元),7733,3837,284,22685,7291,5002,1436,8578,5564,5480,330,1043,-3937,795,421,1997,1015,530,163,11145,412,-303,-416,2300,-448,-420,-4,575,262,197,114,582,455,403,113,-118,186,154,
