报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-08-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),5762,132847,52732,25562,7874,156721,43193,25408,3112,73855,870,619,144,1344,0,0,0,0,0,0,0,1097,716,716,0,1166,320,320,84,1788,449,199,68,55,0,0,0,--,0,0,--,0,1,1,1,1,17,147,144,140,3394,2615,2600,130,
营业收入(万元),5762,132847,52732,25562,7874,156721,43193,25408,3112,73855,870,619,144,1344,0,0,0,0,0,0,0,1097,716,716,0,1166,320,320,84,1788,449,199,68,55,0,0,0,--,0,0,--,0,1,1,1,1,17,147,144,140,3394,2615,2600,130,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,--,--,--,0,--,0,0,0,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,--,--,--,0,--,0,0,0,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,--,--,--,0,--,0,0,0,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),3623,98289,34200,20338,7599,116442,47805,30384,5995,46926,861,576,95,1063,259,168,37,240,185,112,78,1137,760,639,65,992,258,203,75,1671,273,166,100,355,251,161,65,401,230,180,148,43,10522,7135,4545,2055,6420,5013,3408,385,131198,12946,10931,1739,
营业成本(万元),400,54922,17893,10206,4724,86891,36301,22258,2318,28161,539,334,50,662,0,0,0,0,1,1,1,843,479,478,1,691,8,7,1,1351,11,4,0,6,--,0,0,--,0,0,--,0,0,--,--,--,0,--,0,0,1503,2590,2292,705,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
