报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,
营业总收入(万元),3962900,16861900,12476800,8335400,4236000,16079200,12092800,8217200,4219100,14655000,10863200,7070100,3299100,12318100,8977300,5904300,2760200,10001500,7247700,4651800,2201100,8295200,6082992,4000299,1990886,6791767,4930743,3186511,1519599,4985585,3589171,2275149,1072402,3682393,2634216,1667737,790203,3456057,2570744,1670613,803793,2587643,1831036,1161290,528508,1892997,1354974,861484,407968,1456840,1082011,709041,1146553,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
利息收入(万元),6672300,24581800,18035800,11859300,5866500,21481400,16129800,10814400,5564300,22825400,17053200,11241400,5546000,21201500,15592900,10265000,4940500,17780400,12889700,8272700,3917800,15024300,11187896,7413493,3725569,12122124,8367126,5221238,2436387,7296693,5197602,3262316,1561629,6019004,4474775,2964251,1471605,5572130,4281519,2753422,1307997,3844251,2718605,1714010,792694,2843074,2068203,1336608,637714,2265400,1676630,1099075,1757860,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
手续费及佣金收入(万元),1190200,5077300,3893100,2625700,1313200,4323600,3265200,2324800,1206000,2931300,2227400,1530500,724700,2232100,1628400,1080600,521400,1457300,1061500,666000,308000,932100,651739,415421,199105,720481,524897,350600,156945,446147,308113,201720,95411,272042,193954,129938,60711,233495,171133,113975,49867,160357,103163,63431,--,89171,61895,42019,--,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),70200,261200,192000,127100,50500,266300,213400,144400,84500,300400,225200,141000,53600,170500,117500,75000,32300,91200,69400,40400,21800,53100,27103,5516,2563,18281,9674,6506,2880,12879,6451,3938,1787,22242,13226,7470,3811,31782,21280,13632,5139,19611,8690,5203,2516,18383,21207,5677,2907,--,5300,3419,0,
营业总成本(万元),2252400,9834400,7085000,4737400,2396300,9113200,6741600,4693300,2375800,8048300,6027100,3949000,1830500,6143000,4403900,2928600,1359500,4649200,3337200,2113100,1036400,3853300,2677923,1749653,960277,3216095,2308044,1492672,732062,2478380,1671870,1106588,535172,1964556,1275675,770601,403826,1922856,1274756,829592,434200,1511369,1023771,611199,179851,1294864,947589,600542,145289,575847,400009,240962,443148,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
利息支出(万元),4044400,13890600,10145800,6679000,3214600,10669400,7944800,5302900,2783100,11524500,8800300,5947400,3078100,11383200,8442100,5615200,2776300,9262700,6775900,4346500,2065400,7688100,5789838,3852860,1942607,5977968,3965308,2384399,1074362,2776342,1960836,1225636,590634,2665166,2076303,1450577,749290,2418696,1932636,1231268,553003,1426254,1000390,617721,285298,1064800,798505,519488,248954,874101,636031,421406,670210,
手续费及佣金支出(万元),132200,519300,338000,210300,94100,254400,151200,96000,44200,151500,105200,61200,31500,97500,63700,40500,20100,66900,47700,33300,16000,57500,40856,27683,15124,48908,32694,20781,9519,41293,28019,19189,10108,51345,37027,23396,13172,54041,36185,24043,11947,47413,29967,18251,--,32264,23432,14449,--,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,0,
