报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),159194,701740,498793,319776,136188,579490,398547,252528,101648,454272,312125,204186,83026,358894,249336,159977,64736,265381,182337,115306,45201,196274,132273,85881,35451,153389,106694,71195,30239,123160,86590,57831,93417,62569,86649,73843,
营业收入(万元),159194,701740,498793,319776,136188,579490,398547,252528,101648,454272,312125,204186,83026,358894,249336,159977,64736,265381,182337,115306,45201,196274,132273,85881,35451,153389,106694,71195,30239,123160,86590,57831,93417,62569,86649,73843,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业总成本(万元),131299,538923,392696,254529,111754,445900,318509,204164,83345,358969,255638,168963,69222,294536,210573,136016,54828,221407,155604,98549,38700,166571,114023,74107,31062,132433,92803,62315,26584,107911,75810,50794,83997,56999,81044,65869,
营业成本(万元),75896,325059,219136,136497,55846,247405,163566,103410,42216,190000,130188,86982,36171,155953,109896,70357,28229,120916,83315,53146,21151,91103,61208,39727,16476,72887,51196,34481,14809,55911,39113,26049,41986,27216,41277,39007,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业税金及附加(万元),1507,6664,4725,2850,969,6752,4059,2620,1000,4655,3263,2144,901,3930,2756,1832,717,2808,1929,1268,476,2163,1526,1022,442,1488,1094,780,320,1245,938,644,1059,758,649,806,
销售费用(万元),45245,167788,144024,99011,47130,154511,128824,84878,33440,135347,104850,68528,26968,111510,81277,54058,21312,79814,57995,36790,13653,59916,43178,28430,11977,48836,34046,22978,9663,42100,30196,20532,34032,24956,33093,22328,
管理费用(万元),10116,48096,32110,20495,9668,44916,27027,16707,7876,35427,21601,13456,6153,26779,18602,11038,5163,21026,13696,8347,3862,16212,8788,5441,2685,11340,6902,4288,2034,8996,5753,3669,7006,4133,5822,3421,
财务费用(万元),-1231,-9188,-7154,-4486,-1663,-7864,-4713,-3530,-749,-6596,-4108,-2222,-567,-4324,-2137,-1527,-449,-3552,-1478,-1197,-417,-2950,-941,-756,-414,-2378,-430,-320,-133,-315,-170,-82,-105,-64,75,349,
资产减值损失(万元),-235,504,-145,161,-197,179,-254,79,-438,136,-155,76,-404,687,179,258,-143,395,148,196,-26,126,263,243,-105,260,-5,109,-108,-26,-20,-20,19,0,128,-42,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,0,
投资收益(万元),1977,145,8,-188,-105,-186,--,--,--,--,--,--,--,--,--,--,--,-4,-4,-4,-4,9,5,3,-9,-5,--,--,--,--,0,0,0,0,559,32,
对联营企业和合营企业的投资收益(万元),87,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-4,--,--,--,--,--,--,--,-5,--,--,--,--,0,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业利润(万元),35680,169003,106104,65059,24329,133404,80038,48363,18302,95303,56487,35223,13804,64358,38762,23961,9908,43969,26728,16753,6496,29712,18255,11777,4379,20951,13890,8881,3655,15248,10780,7037,9420,5570,6164,8005,
营业外收入(万元),26,410,6126,5675,5456,7158,2128,1624,1064,1732,938,763,244,2338,1652,1447,72,703,640,131,52,1185,820,753,690,839,692,612,133,377,310,166,73,25,366,369,
营业外支出(万元),107,146,133,125,107,136,112,105,103,154,153,110,105,285,81,48,35,313,93,60,7,179,6,3,2,33,32,31,30,4,2,1,73,4,69,139,
非流动资产处置损失(万元),--,0,1,1,--,16,4,2,2,3,--,--,--,15,14,12,--,226,6,7,4,2,2,--,--,--,--,--,--,--,0,0,67,0,18,114,
利润总额(万元),35599,169267,112097,70609,29678,140426,82053,49882,19263,96881,57272,35876,13942,66411,40333,25359,9945,44358,27276,16824,6542,30718,19069,12527,5067,21757,14550,9462,3757,15622,11088,7201,9420,5591,6460,8235,
