报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),352869,220729,131098,50465,318241,204149,118606,46853,313921,204805,124614,50018,330588,200670,122115,47841,326411,203098,128990,52747,305255,188244,125062,49701,234870,137367,86493,33521,168656,93929,59525,26444,134772,47319,123512,117401,93731,
营业收入(万元),352869,220729,131098,50465,318241,204149,118606,46853,313921,204805,124614,50018,330588,200670,122115,47841,326411,203098,128990,52747,305255,188244,125062,49701,234870,137367,86493,33521,168656,93929,59525,26444,134772,47319,123512,117401,93731,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),341341,213765,130962,55414,313733,208597,127947,54609,305963,207503,128925,54984,310706,195719,118973,49867,302020,192564,121858,53027,279392,178042,116266,48842,207801,128079,80312,32877,151648,85076,54995,26032,123895,45847,113886,107490,87939,
营业成本(万元),202651,124353,73853,27692,186322,120706,71025,27519,188268,121351,73868,29110,196949,116382,69085,27257,194317,117469,73870,30111,181654,108927,72094,27569,130799,74959,46634,17916,90316,49888,32262,14472,73687,26439,72720,64925,49400,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),42785,28322,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),3797,2683,1867,694,3999,2596,1588,612,3586,1911,1153,496,2955,2070,1228,502,3299,1950,1021,557,3057,1791,1326,646,2212,1302,930,615,1578,805,468,411,1535,372,1128,1327,1046,
销售费用(万元),57357,37657,22900,11731,51238,35690,22769,11491,49482,35721,22805,10962,48972,34525,21701,9940,49505,35526,22947,10355,45538,32262,19848,9752,36321,25279,15828,7593,32293,16753,11307,6138,24473,8800,18947,18487,19300,
管理费用(万元),18034,13042,27631,13185,57138,41515,27211,13272,54153,41507,26656,13393,52206,38583,24621,11654,48052,35499,22725,11777,45804,33557,21786,10690,37427,26712,17214,7386,28389,18907,11536,5240,20979,8927,17855,18422,14178,
财务费用(万元),740,679,489,313,2340,1935,1413,416,2045,1621,803,285,1216,660,79,-91,140,-202,-261,-201,-395,-692,-545,-345,-2268,-1729,-1430,-997,-2892,-2070,-1289,-642,1882,954,2294,3448,2187,
资产减值损失(万元),15977,7030,4222,1800,12696,6155,3941,1299,8429,5393,3641,738,8407,3499,2258,605,6708,2322,1556,429,3733,2197,1757,530,3310,1555,1137,364,1963,793,710,412,1338,354,942,882,1828,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),2962,2105,809,336,9976,9161,7494,2592,11981,8723,6782,4095,3688,834,23,271,2805,1320,1193,819,5388,3196,1088,-93,-193,-235,-271,-236,--,--,--,--,--,0,-0,-15,0,
对联营企业和合营企业的投资收益(万元),2962,2105,809,336,9976,9161,7494,2592,10645,8723,6782,4095,3688,834,23,271,2805,1320,1193,819,5388,3196,1088,-93,193,-235,-271,-236,--,--,--,--,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),23912,15858,3347,-2421,23568,13340,1040,-5165,19939,6024,2471,-872,23570,5785,3165,-1755,27196,11854,8326,538,31251,13398,9884,767,26876,9054,5910,408,17008,8853,4530,412,10877,1472,9625,9896,5793,
营业外收入(万元),2101,1672,929,367,3128,2782,2098,3063,12164,9681,5208,1756,14988,10324,5193,2762,11083,7611,3102,626,12199,7548,3222,1140,10189,5567,2221,739,8341,2160,1744,1523,6496,2742,5784,5703,5346,
营业外支出(万元),59,7,7,--,135,91,5,0,205,174,145,23,116,84,41,11,179,154,118,102,730,792,752,28,322,94,84,22,96,42,31,3,243,33,117,173,12,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,22,22,22,1,26,24,2,0,80,80,53,53,44,20,3,1,25,11,9,1,20,14,3,1,14,5,9,13,7,
利润总额(万元),25954,17523,4269,-2054,26561,16031,3133,-2103,31898,15531,7535,861,38441,16025,8317,996,38101,19311,11310,1062,42720,20154,12355,1879,36743,14527,8046,1124,25253,10970,6242,1933,17130,4181,15293,15427,11127,
