报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),28672,136651,96290,60645,21565,98704,70222,43092,15777,79981,56935,34905,13126,69022,50339,30288,11172,66281,48336,30023,11027,56109,40200,24588,10110,55326,44762,31653,
营业收入(万元),28672,136651,96290,60645,21565,98704,70222,43092,15777,79981,56935,34905,13126,69022,50339,30288,11172,66281,48336,30023,11027,56109,40200,24588,10110,55326,44762,31653,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),26499,119104,82438,52053,19195,83479,58611,36114,13705,67177,46765,29126,11363,58196,41868,25571,9790,55763,39961,25401,9439,47763,33584,20726,8481,48080,37344,26575,
营业成本(万元),20116,90873,64040,39792,14583,63762,44676,27245,9630,52080,36860,22833,8609,44432,32516,19644,7397,42235,30872,19126,7023,36303,26224,16139,6641,37540,30154,21467,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,94,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1123,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
