报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
营业总收入(万元),1371600,5035300,3881400,2649800,1360600,4745600,3629600,2465500,1270200,4408100,3297400,2151800,1062500,3687800,2780000,1822000,883043,3066515,2317198,1573392,795596,2781686,2036172,1330730,630216,2072773,1500871,974681,465287,1563523,1147782,737637,355940,1189411,858588,559117,265121,1230406,895120,571626,289107,764186,525487,314215,161231,582764,414654,420156,402109,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,--,0,0,0,--,0,0,--,0,
利息收入(万元),2516200,9020900,6607800,4269700,2052900,7644600,5651200,3765300,1885000,7911200,5819500,3877200,1908100,7325500,5451200,3589500,1755756,5788102,4162763,2713163,1334829,5392224,4014639,2633675,1290647,3776570,2618324,1623879,769925,2354014,1675243,1060986,506177,1742960,1278385,830897,414882,1857803,1390940,896431,428165,1245296,855371,536361,258141,927699,667707,715060,643276,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,--,0,0,0,--,0,0,--,0,
手续费及佣金收入(万元),318100,1115500,981800,747600,414200,1014400,839400,620500,315900,758800,609500,419200,213300,517100,448800,329000,181084,447506,371083,269736,145803,290409,199606,134969,66506,178317,138884,97348,46600,110234,84547,53544,25218,75982,57014,37351,16211,59003,44372,29141,13248,39885,29447,18379,7678,24692,16885,16597,9214,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,--,0,0,0,--,0,0,--,0,
其他业务收入(万元),2200,12400,7100,5300,1400,12100,3200,2000,1200,9300,18500,5700,2700,17000,10200,9100,5106,14571,4984,3984,3104,11125,7960,5160,3053,10440,7831,5036,2506,8916,6779,4500,2173,8643,6926,4788,1838,7780,5682,3560,1198,3330,8147,5587,767,1813,762,1474,1169,
营业总成本(万元),676600,2748800,1950100,1255600,680300,2512500,1769400,1141200,608000,2304500,1512700,874500,432200,1705700,1169800,682400,311605,1389591,938266,596557,270568,1306207,768877,518023,200868,937716,501955,314992,142640,702615,389519,238985,87845,473959,298310,185324,67300,546709,330389,200103,84768,298007,141118,83193,42282,276509,169509,190676,215601,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,0,0,0,--,0,0,0,--,0,0,--,0,
利息支出(万元),1480000,5083300,3704100,2364800,1108900,3892100,2885000,1940400,947500,4332700,3206300,2188500,1083900,4197000,3164100,2133100,1085182,3159587,2209207,1414885,695169,2929945,2203203,1460645,737999,1899372,1266902,756916,354585,906126,633944,388455,183058,647568,483262,319124,161440,748953,569005,366159,164761,525258,374424,238855,106132,378610,280117,303226,238324,
