报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),13882,60021,45994,29729,14072,57958,41738,26259,13535,55980,42453,23865,11507,51814,36524,17721,8199,32136,25192,15053,7862,38765,--,16598,8454,40319,34721,31380,30385,
营业收入(万元),13882,60021,45994,29729,14072,57958,41738,26259,13535,55980,42453,23865,11507,51814,36524,17721,8199,32136,25192,15053,7862,38765,--,16598,8454,40319,34721,31380,30385,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),13456,76599,44377,29189,13882,56385,39743,25329,13314,54206,39043,22545,11763,45691,30970,15698,7465,28293,21484,13698,7190,33031,--,14897,7806,33756,29263,26406,25454,
营业成本(万元),8877,38021,27835,19043,8263,32890,23394,14964,7812,30639,22624,13045,6346,27634,19183,10150,4839,19130,14727,9497,5095,23554,--,10600,5445,24777,20944,19219,19238,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
