报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),40537,16599,91344,61041,39948,13721,98391,68641,39746,15130,82533,59085,32908,14676,64440,44013,24334,9596,50328,35214,21984,10759,44164,29858,16787,8846,37702,26602,15664,7461,23238,8227,14741,12880,6312,
营业收入(万元),40537,16599,91344,61041,39948,13721,98391,68641,39746,15130,82533,59085,32908,14676,64440,44013,24334,9596,50328,35214,21984,10759,44164,29858,16787,8846,37702,26602,15664,7461,23238,8227,14741,12880,6312,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),36413,14683,74277,48039,29873,9561,65730,45920,26946,9374,56466,40203,22656,9305,41672,27328,15084,5746,29379,20021,12173,5876,21041,15240,7312,4584,16464,13573,7839,3714,13060,4450,7800,6395,4134,
营业成本(万元),20700,7356,40191,26117,16081,5427,35757,25012,14626,5616,35732,26146,15809,7021,28325,19804,10567,3968,19213,13185,7978,3953,16822,11168,6402,3556,13259,9551,5501,2683,8507,3031,5310,4406,3251,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业税金及附加(万元),564,177,1204,899,607,148,1533,787,451,190,959,638,338,172,525,354,218,88,510,399,255,128,476,340,183,95,420,311,166,82,254,80,163,156,67,
销售费用(万元),3775,1751,10269,5895,3462,1304,8432,5335,3001,1096,7782,4121,2239,935,4765,2640,1566,821,3897,2075,1308,514,2036,1402,735,230,1379,1022,436,176,820,242,275,247,221,
管理费用(万元),13017,6046,24750,16814,10517,4113,20850,15854,10033,3796,15503,11692,6581,2895,12666,8183,4967,2280,10293,7107,4978,2184,6552,4568,2180,925,4393,3090,2044,919,3404,1007,2112,1286,591,
财务费用(万元),-1662,-745,-2855,-2069,-1453,-967,-2290,-1575,-1138,-1020,-4225,-3235,-2532,-1603,-5170,-3925,-2467,-1237,-4768,-3025,-2454,-1053,-5005,-2387,-2232,-232,-3024,-477,-328,-168,-36,-16,-58,-26,-22,
资产减值损失(万元),20,98,719,382,658,-465,1447,506,-28,-303,715,840,221,-115,562,272,233,-174,233,281,108,149,161,149,43,10,37,75,20,22,111,105,-1,327,26,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资收益(万元),3163,2010,149,-120,90,136,309,-146,64,-92,196,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),1969,1973,-829,-587,-376,-177,-608,-408,-198,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),9841,4995,23694,17181,12812,4296,32970,22574,12864,5663,26262,18883,10252,5371,22768,16685,9250,3850,20949,15193,9811,4883,23122,14618,9474,4262,21238,13029,7825,3746,10178,3777,6941,6485,2178,
营业外收入(万元),6,10,25,1061,976,1455,6352,4914,3012,1194,6375,3866,2824,1801,4388,3515,1754,876,3907,3870,2663,1815,5425,3468,2599,1911,2778,1536,1176,736,1209,528,1187,223,659,
营业外支出(万元),8,2,11,2,1,--,51,6,6,0,9,6,0,--,33,1,1,--,1,1,--,--,--,--,--,--,--,--,--,--,0,0,1,11,6,
非流动资产处置损失(万元),--,--,--,1,1,--,36,--,--,--,9,5,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,1,2,
利润总额(万元),9840,5003,23708,18241,13787,5752,39271,27482,15870,6857,32628,22743,13075,7171,27123,20199,11003,4726,24855,19062,12475,6699,28547,18086,12074,6173,24015,14565,9001,4482,11387,4304,8127,6697,2832,
所得税费用(万元),1123,688,100,-158,771,1008,4149,4025,2338,1120,5314,3128,1823,981,2537,1846,1060,568,1239,2723,1631,821,2628,2690,1805,925,3606,2270,1435,645,1025,610,1115,932,205,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
净利润(万元),8717,4315,23608,18399,13015,4743,35122,23458,13532,5737,27314,19615,11252,6190,24586,18353,9943,4158,23617,16339,10843,5878,25920,15395,10269,5249,20409,12295,7565,3838,10362,3694,7012,5764,2627,
归属于母公司所有者的净利润(万元),8717,4315,23805,18566,13171,4766,35647,23743,13700,5820,27599,19993,11514,6252,24528,18412,9984,4158,23617,16339,10843,5878,25920,15395,10269,5249,20409,12295,7565,3838,10362,3694,7012,5764,2627,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10843,--,0,0,--,--,--,--,--,--,0,0,0,0,0,
少数股东损益(万元),--,--,-198,-167,-156,-22,-526,-285,-168,-83,-285,-379,-262,-62,58,-59,-41,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
基本每股收益,0.18,0.1,0.53,0.41,0.29,0.11,0.79,0.52,0.3,0.13,0.62,0.45,0.26,0.28,1.1,0.83,0.45,0.19,1.07,0.74,0.49,0.27,1.18,0.7,0.47,0.52,2.13,1.3,0.83,0.46,1.38,0.49,0.93,2.02,0.92,
稀释每股收益,0.18,0.09,0.52,0.41,0.29,0.11,0.79,0.52,0.3,0.13,0.62,0.45,0.26,0.28,1.1,0.83,0.45,0.19,1.07,0.74,0.49,0.27,1.18,0.7,0.47,0.52,2.13,1.3,0.83,0.46,1.38,0.49,0.93,2.02,0.92,
