报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),37080,27000,11234,59423,30143,20544,7078,40576,25351,17645,6221,37014,27219,25161,17264,
营业收入(万元),37080,27000,11234,59423,30143,20544,7078,40576,25351,17645,6221,37014,27219,25161,17264,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),40186,28319,12781,54209,28974,19894,7415,36387,24030,17117,6683,33844,23137,21209,14376,
营业成本(万元),20864,16423,7014,37508,18246,12801,3424,25106,15657,11885,3634,24180,15137,14965,9846,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),259,187,160,217,107,89,72,267,193,165,66,133,78,116,84,
销售费用(万元),4242,2737,1473,3451,2340,1710,864,2698,1812,1224,677,2342,2138,1565,1108,
管理费用(万元),14155,8380,4000,12125,8152,5137,2887,7909,5670,3608,2151,6329,5257,4276,3565,
财务费用(万元),-77,-212,-188,-54,-452,-366,-125,3,-24,104,33,666,313,228,-290,
资产减值损失(万元),743,804,322,963,581,523,292,403,722,131,122,194,214,59,62,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),146,107,47,105,--,--,--,--,--,--,--,--,--,6,2,
对联营企业和合营企业的投资收益(万元),4,0,-1,-0,--,--,--,--,--,--,--,--,--,-0,2,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-2514,-815,-1501,5319,1169,649,-337,4189,1322,527,-462,3170,4082,3957,2891,
营业外收入(万元),1,--,44,955,341,165,67,492,150,23,0,619,648,553,598,
营业外支出(万元),--,--,--,10,10,10,--,8,8,1,--,34,15,6,9,
非流动资产处置损失(万元),--,--,--,--,--,--,--,8,8,1,--,34,15,6,4,
利润总额(万元),-2512,-815,-1457,6264,1500,804,-270,4672,1464,550,-462,3755,4716,4504,3480,
所得税费用(万元),-1661,-1342,-777,843,-197,-50,-61,384,-83,-168,-247,416,420,449,286,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-851,527,-680,5421,1697,854,-209,4288,1547,717,-215,3339,4296,4055,3194,
归属于母公司所有者的净利润(万元),-915,465,-751,5693,1905,983,-130,4445,1634,752,-220,3347,4296,4055,3194,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),64,62,71,-272,-208,-129,-78,-157,-87,-35,5,-7,0,-0,--,
基本每股收益,-0.04,0.02,-0.08,0.72,0.26,0.14,-0.02,0.64,0.24,0.11,-0.03,0.49,0.62,0.6,--,
稀释每股收益,-0.04,0.02,-0.08,0.72,0.26,0.14,-0.02,0.64,0.24,0.11,-0.03,0.49,0.62,0.6,--,
