报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),5519743,24399986,15080106,10108549,4418000,21955758,14128001,9582466,4257461,21732397,14539953,10069155,4538137,21578577,14464668,9616655,4187819,20269024,13727451,9115321,4362376,22111970,15528021,10701419,4485297,23017820,16208401,10614976,4301064,20679182,13583111,8903019,3668975,16529462,11982944,7499165,15357149,12355255,9203263,
营业收入(万元),5519743,24399986,15080106,10108549,4418000,21955758,14128001,9582466,4257461,21732397,14539953,10069155,4538137,21578577,14464668,9616655,4187819,20269024,13727451,9115321,4362376,22111970,15528021,10701419,4485297,23017820,16208401,10614976,4301064,20679182,13583111,8903019,3666717,16520115,11982944,7499165,15357149,12355255,9203263,
利息收入(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,2259,8950,0,0,--,0,0,
已赚保费(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
手续费及佣金收入(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,397,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
营业总成本(万元),5268385,23606919,14579308,9729934,4243253,21300016,13710424,9290163,4119160,21308992,14127674,9770987,4379305,21152672,14160583,9398125,4059881,19865096,13502236,8968097,4221979,23312827,15424416,10689839,4388899,22598924,15811609,10325949,4141252,20018182,13178179,8600963,3514866,15969110,11533945,7236912,15045785,11750213,8878951,
营业成本(万元),4821638,21205231,13138850,8792624,3888908,19136984,12386263,8336679,3758302,18881736,12747000,8759366,3986496,18788456,12716351,8429687,3658373,17511226,12009486,7918586,3799936,19517315,13675034,9416510,3948759,20274393,14341782,9349404,3766760,17985153,11974892,7776362,3166184,14502265,10532147,6608159,13601587,10738244,8012266,
利息支出(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,408,111,0,0,--,0,0,
手续费及佣金支出(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,22,89,0,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
退保金(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
赔付支出净额(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
提取保险合同准备金净额(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
保单红利支出(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
分保费用(万元),0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
营业税金及附加(万元),60168,210902,118244,96371,33801,328812,190561,172802,95868,559716,361374,261695,102219,571264,352964,239781,100993,572337,376993,257161,117854,621083,417055,292975,113554,615649,399723,270349,98155,616785,328285,224510,107184,396565,266930,167500,357226,284936,222291,
销售费用(万元),42959,196129,125017,83936,40323,166526,107406,73457,28633,151223,96886,60602,29874,150023,103947,68928,33619,161747,97887,71106,30908,165577,106956,71063,34535,183582,126921,84387,39303,153016,89048,59439,26985,103744,59971,38528,89257,70463,53669,
管理费用(万元),250777,1301791,739254,461205,220620,1042517,667767,436116,203401,1006708,613504,406755,198647,910827,589904,387103,188963,944931,615958,410874,199889,997506,627867,415127,201817,979187,602785,403030,178048,846158,506686,322080,150759,644078,443606,264809,596963,466369,404455,
财务费用(万元),89586,302003,247647,159660,56856,222871,172084,128794,54295,252656,201338,176740,66440,402264,280165,163224,85868,445977,352585,250711,73890,434526,307395,214743,93573,381286,287270,160932,58688,274307,224412,160066,48155,244367,181131,115848,287987,139501,111398,
资产减值损失(万元),3257,390863,210298,136139,2745,402306,186343,142316,-21338,456953,107572,105829,-4372,329838,117251,109403,-7935,228878,49327,59659,-498,1576821,290109,279420,-3339,164827,53128,57848,299,142763,54856,58506,15170,77890,50161,42067,112765,50698,74872,
公允价值变动收益(万元),-22,22,1534,1068,755,-322,529,635,425,-3045,-2604,2169,-539,-2247,-187,-524,289,3936,384,-184,-166,22,-157,-147,-71,148,--,--,--,-52,-52,-52,-0,58,7,13,-858,-7558,8953,
投资收益(万元),-2232,54887,8396,1130,2371,44005,23463,31269,35802,173516,22731,12386,7395,105367,52669,54107,28759,34281,54161,52853,1288,361284,18383,8767,2528,113229,29204,24690,6972,39879,13713,8166,2921,9885,16374,5722,65870,145108,8066,
对联营企业和合营企业的投资收益(万元),-1752,4831,-8974,-7014,2737,32759,21278,25619,33996,-15373,5891,5891,--,-9624,-19993,-12424,0,-12653,-1293,-86,520,3779,4309,1526,391,5619,2222,2207,1138,13418,5734,3914,1923,8640,6036,3980,14672,7798,2904,
汇兑收益(万元),0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,0,0,2,11,0,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
营业利润(万元),252368,877912,510727,380812,177873,699426,441570,324207,174527,593877,432406,312724,165689,529025,356567,272113,156986,442145,279760,199894,141519,-839551,121832,20200,98856,532274,425997,313718,166784,700826,418592,310170,157032,570306,465379,267988,376376,742592,341331,
营业外收入(万元),11037,43864,37593,25225,25039,130671,63733,38794,14272,137581,71008,42223,18511,169913,90753,56118,12785,104650,72271,46946,15278,95049,54712,42104,13126,115186,47977,33176,11498,81430,44746,34144,17055,98511,72667,56804,95678,50702,20456,
营业外支出(万元),4726,24307,11308,8616,2248,65320,6987,5360,1182,17144,7527,4533,1603,28408,16114,10469,1848,17143,8768,7099,1296,51727,7437,3969,2081,31995,5943,4304,984,13395,4656,3576,2436,16039,8049,4676,13619,26461,21394,
非流动资产处置损失(万元),--,--,985,769,198,4935,1262,1068,295,4686,2154,1325,296,3632,2765,2051,336,4811,1725,1245,326,2794,3195,948,116,13142,2152,1507,427,4417,1780,1179,822,2479,1489,849,4640,16195,13146,
利润总额(万元),258680,897469,537012,397421,200665,764777,498315,357640,187617,714314,495888,350414,182597,670531,431207,317761,167923,529651,343263,239741,155501,-796230,169106,58335,109900,615464,468030,342590,177297,768860,458682,340739,171651,652778,529996,320116,458434,766832,340392,
所得税费用(万元),62732,226283,132428,105636,31902,167812,119002,74924,30143,219439,131325,104332,45308,236395,156484,121611,52339,221872,144851,104010,43267,249252,145143,104486,27173,244207,159477,114057,40209,211799,122720,87904,37203,136181,109176,66049,93670,164395,62049,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,
净利润(万元),195948,671185,404584,291786,168762,596965,379314,282716,157474,494874,364563,246082,137289,434136,274723,196151,115584,307780,198412,135731,112234,-1045482,23963,-46151,82727,371257,308554,228533,137089,557062,335962,252835,134448,516597,420820,254066,364765,602437,278344,
归属于母公司所有者的净利润(万元),166091,606149,354889,267468,144174,537586,335704,241593,136511,480156,315143,217227,127348,396494,249214,180934,111276,298086,211635,148041,104366,-695150,66154,-18613,86339,424342,260256,196903,119613,532078,300563,222897,110417,423233,345297,208310,311797,356063,130773,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,0,0,0,4735,0,0,--,0,0,
少数股东损益(万元),29857,65037,49696,24318,24588,59379,43609,41124,20963,14718,49419,28855,9941,37642,25509,15217,4308,9693,-13223,-12311,7868,-350331,-42191,-27538,-3612,-53086,48297,31630,17475,24984,35398,29938,24032,93365,75523,45756,52968,246374,147571,
基本每股收益,0.08,0.26,0.16,0.11,0.07,0.25,0.16,0.11,0.07,0.24,0.16,0.11,0.07,0.21,0.13,0.09,0.06,0.16,0.11,0.08,0.05,-0.36,0.03,-0.01,0.05,0.22,0.14,0.1,0.06,0.28,0.16,0.12,0.06,0.29,0.27,0.16,0.24,0,0,
稀释每股收益,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.08,--,-0.36,--,--,--,0.22,--,--,--,0.28,0,--,--,--,--,0,--,0,0,
