报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
营业总收入(万元),864378,3742395,2521535,1671831,799252,3135918,2281267,1541601,710546,2951083,2231768,1477329,742383,2877870,2141177,1379586,681944,2816230,2112713,1373399,649068,2838102,2143843,1364612,597628,2177886,1614075,1055134,512265,1910545,1406846,905522,434941,1654534,1205933,790367,367912,1814048,1381434,914581,423356,1632840,1158372,761243,343532,1279444,
营业收入(万元),864378,3742395,2521535,1671831,799252,3135918,2281267,1541601,710546,2951083,2231768,1477329,742383,2877870,2141177,1379586,681944,2816230,2112713,1373399,649068,2838102,2143843,1364612,597628,2177886,1614075,1055134,512265,1910545,1406846,905522,434941,1654534,1205933,790367,367912,1814048,1381434,914581,423356,1632840,1158372,761243,343532,1279444,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业总成本(万元),743271,2978228,2042959,1349774,662087,2560143,1855541,1217479,563006,2318628,1731518,1133569,562433,2155035,1596475,1037969,509246,2192275,1631394,1074686,509247,2259148,1664402,1055861,458973,1502900,1069769,689170,325484,1272303,889629,576032,286497,1200650,859154,578181,267529,1209040,887446,586210,270962,1102431,750616,496273,212525,893991,
营业成本(万元),609195,2480873,1759535,1166274,573434,2192633,1592658,1038856,494060,1972123,1474658,959043,487065,1824965,1343544,860958,426605,1868288,1385431,911138,430377,1927899,1427795,898725,384484,1178116,852678,552719,263947,1007431,700692,448198,228577,928435,669618,442614,202588,911651,680672,450783,206567,855108,570068,375795,158463,638462,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业税金及附加(万元),19411,99492,13902,9363,2529,26283,13027,11984,4928,24586,14055,10087,4050,18533,14876,10717,6404,22106,14810,10051,4910,22974,18050,12580,5923,36392,25677,16845,8106,33651,24925,17437,8989,49933,37977,25756,11985,65414,48469,32220,14337,55810,39887,26144,12126,44090,
销售费用(万元),1229,8918,5903,3292,1560,4072,1827,1273,404,1170,294,166,19,352,263,115,34,586,129,87,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,
管理费用(万元),80343,293062,210445,139957,68545,256026,188057,127313,45810,233406,171878,117773,51073,213179,158247,109447,52676,215143,160143,104375,51558,220628,157548,104849,50799,195715,138240,90266,41120,180385,122922,81989,39739,181331,128561,84887,41684,181917,125542,83935,41097,164075,117343,76954,36868,180367,
财务费用(万元),33094,101773,57709,35400,16019,71948,55601,33682,17814,84924,67836,43585,20227,99571,76538,53436,23526,85698,65513,43589,22352,78018,57758,36833,19095,74333,52318,28492,12330,43381,33936,21185,9192,46223,34520,24721,11272,36500,26377,14154,8483,20488,16334,10009,5307,19688,
资产减值损失(万元),--,-5890,-4536,-4512,--,9181,4372,4372,-10,2420,2797,2914,--,-1564,3008,3296,--,453,5367,5446,--,9629,3249,2873,-1329,18345,857,848,-19,7454,7154,7224,--,-5272,-11524,203,--,13558,6385,5118,479,6950,6984,7371,-238,11384,
公允价值变动收益(万元),--,9547,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,-605,-1020,-1020,0,3392,
投资收益(万元),105938,465451,220391,185005,32940,346247,141526,82086,32355,226120,128781,90087,37474,169812,86735,53602,24150,90880,63119,48727,6309,76711,23148,16430,3211,28165,18920,13867,2918,24824,18500,12433,3405,22157,14927,8944,1570,28255,20362,10243,2312,28809,22339,16485,4630,41717,
对联营企业和合营企业的投资收益(万元),101866,167235,105808,70165,32937,285202,117963,82062,32351,171492,119294,88872,37470,132018,78231,53468,24139,76553,49016,41711,6306,71303,17783,11209,3207,21090,14839,10008,2885,17297,14035,10294,3265,14610,8432,5686,1099,15280,--,8929,--,16831,--,5116,0,32427,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,
营业利润(万元),236096,1320792,706474,512073,170105,922022,567252,406208,179895,858575,629032,433848,217423,892647,631437,395219,196848,714834,544439,347439,146130,655665,502589,325181,141867,703150,563225,379831,189699,663066,535717,341923,151849,476041,361706,221129,101953,633262,514350,338614,154705,558613,429075,280435,135636,430562,
营业外收入(万元),1124,267486,54880,25546,19163,78799,41800,33973,8645,130272,64389,38413,14802,93047,62534,41123,18228,72612,48137,34034,13616,64448,38507,19873,5935,24454,8003,4520,962,128456,46909,45211,1395,68773,22707,17506,14963,80000,72370,35859,1863,5602,4502,3488,1030,7346,
营业外支出(万元),207,2750,3429,3015,1869,6633,3143,2106,3020,3692,2462,817,675,2786,931,204,117,5305,525,331,97,1329,640,213,104,1677,1199,834,77,1291,648,341,42,6472,1044,552,351,3392,1962,1234,101,4627,3566,3352,94,1366,
非流动资产处置损失(万元),--,--,2111,1944,1536,5338,1972,939,523,2835,1582,730,662,2060,344,128,54,937,364,284,71,1240,580,177,85,1445,976,768,53,853,400,28,29,673,637,380,189,2175,--,251,--,3274,--,2298,0,1090,
