报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3002696,1984232,881525,4292350,2778162,1868986,851089,6034933,3658078,2312129,1113561,9448104,1193745,792442,370169,1767717,1334922,871799,411388,1698792,1262477,832860,415078,2017977,1564221,1033259,505707,1634837,1156739,759652,371699,1322503,963727,613558,278879,1522452,1255043,854861,411958,1717566,1292703,848266,402180,1730764,1295109,815989,374149,
营业收入(万元),3002696,1984232,881525,4292350,2778162,1868986,851089,6034933,3658078,2312129,1113561,9448104,1193745,792442,370169,1767717,1334922,871799,411388,1698792,1262477,832860,415078,2017977,1564221,1033259,505707,1634837,1156739,759652,371699,1322503,963727,613558,278879,1522452,1255043,854861,411958,1717566,1292703,848266,402180,1730764,1295109,815989,374149,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
营业总成本(万元),3324732,2207852,1010497,5896449,3661949,2313596,1018339,6021498,3856469,2446648,1148815,9386400,1383580,959430,401695,1885283,1412797,929437,438777,1756013,1301069,863934,414868,1921696,1462395,961946,455990,1521845,1099178,736808,364293,1286305,926723,583340,274925,1660196,1291207,868295,413450,1712671,1284380,843137,400259,1723629,1282834,814137,378761,
营业成本(万元),2994339,1986836,920254,5351674,3342675,2106936,921649,5456896,3507713,2230594,1042693,8526110,1195915,804686,377737,1776554,1337275,881248,414641,1657282,1224144,813072,392637,1820623,1381581,909539,426082,1394985,1021631,691395,341977,1180129,858161,535881,251280,1529409,1235023,830539,396273,1627527,1224277,799886,384710,1657918,1231203,781505,364008,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
