报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),52530,34182,14996,50012,36922,24195,9622,45961,33927,23236,47911,48915,45821,41924,
营业收入(万元),52530,34182,14996,50012,36922,24195,9622,45961,33927,23236,47911,48915,45821,41924,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),45279,29297,12912,42262,31279,20815,8387,40919,29635,20367,42563,43516,41292,37202,
营业成本(万元),37412,24175,10545,33950,24996,16460,6605,32794,24382,16655,34173,34873,33573,30402,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),30,28,1,50,8,7,4,17,10,9,16,19,14,34,
销售费用(万元),2925,2011,943,4100,2898,2042,677,3915,2550,1735,3909,3716,3681,2823,
管理费用(万元),4005,2531,1344,5395,3828,2574,1027,4944,3232,2181,4498,4380,3793,3610,
财务费用(万元),811,485,56,-1474,-510,-322,67,-836,-595,-271,-111,422,142,264,
资产减值损失(万元),96,66,23,242,59,54,6,85,55,58,78,106,89,68,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,-16,17,-36,36,--,-4,
投资收益(万元),--,--,--,--,--,--,--,1,18,22,55,117,--,-6,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7512,5067,2083,7749,5643,3379,1235,5043,4294,2908,5366,5552,4529,4713,
营业外收入(万元),124,87,47,394,286,169,49,693,411,88,554,366,440,292,
营业外支出(万元),29,25,0,50,0,--,--,157,156,46,5,57,2,117,
非流动资产处置损失(万元),6,--,--,0,0,--,--,2,0,0,5,7,--,110,
利润总额(万元),7607,5129,2130,8093,5929,3548,1285,5580,4548,2950,5915,5861,4967,4888,
所得税费用(万元),1174,792,315,1167,894,535,198,732,687,451,841,808,671,674,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6433,4338,1816,6926,5035,3013,1087,4848,3862,2499,5074,5053,4296,4213,
归属于母公司所有者的净利润(万元),6192,4228,1816,6926,5035,3013,1087,4848,3862,2499,5074,5053,4304,4170,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,10,
少数股东损益(万元),241,109,--,--,--,--,--,--,--,--,--,-1,-7,43,
基本每股收益,0.31,0.21,0.18,0.79,0.6,0.4,0.14,0.65,0.51,0.33,0.68,0.67,0.57,0.56,
稀释每股收益,0.31,0.21,0.18,0.79,0.6,0.4,0.14,0.65,0.51,0.33,0.68,0.67,0.57,0.56,
