报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),21125,13351,22552,13512,31438,15524,23982,12251,16373,11959,11269,12579,
营业收入(万元),21125,13351,22552,13512,31438,15524,23982,12251,16373,11959,11269,12579,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),17043,10655,17600,9800,24928,11997,21055,10854,15346,11243,10653,11987,
营业成本(万元),14468,9037,14287,7596,19659,9698,17368,9161,12790,9260,8923,10316,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),166,118,239,96,157,42,74,35,60,28,21,45,
销售费用(万元),534,325,787,510,1028,512,748,376,480,351,289,303,
管理费用(万元),1706,1068,2440,1589,3936,1607,2577,1142,1717,1370,1251,1246,
财务费用(万元),106,43,-138,-14,117,114,276,136,326,241,106,82,
资产减值损失(万元),63,65,-15,22,29,53,12,4,-27,-7,64,-3,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),95,-0,4,2,20,15,9,3,17,15,-12,56,
对联营企业和合营企业的投资收益(万元),95,-0,4,2,8,3,3,--,3,--,--,--,
汇兑收益(万元),--,--,--,0,--,15,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4177,2696,4956,3714,6530,3527,2936,1400,1043,731,603,648,
营业外收入(万元),561,154,442,359,163,104,228,152,81,76,6,93,
营业外支出(万元),--,--,19,13,27,11,21,13,30,25,12,20,
非流动资产处置损失(万元),--,--,--,--,3,3,0,--,--,--,--,--,
利润总额(万元),4738,2850,5380,4060,6666,3620,3144,1539,1095,782,597,721,
所得税费用(万元),675,393,781,596,997,543,468,233,177,119,97,117,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4062,2457,4599,3465,5669,3078,2676,1306,918,663,500,604,
归属于母公司所有者的净利润(万元),4062,2457,4599,3465,5669,3078,2676,1306,918,663,500,604,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.62,0.38,0.71,0.53,0.87,0.47,0.44,0.22,0.15,0.11,0.08,0.1,
稀释每股收益,--,0.38,0.71,--,0.87,--,0.44,--,--,0.11,0.08,0.1,
