报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
营业总收入(万元),27358,53588,36566,23426,9910,33119,24904,19310,9631,41555,30286,20956,9407,46635,34965,24567,11396,41131,29512,18892,10400,35171,25758,17013,7861,30583,22697,15849,7970,30206,22081,14825,23210,16948,23210,25783,18878,
营业收入(万元),27358,53588,36566,23426,9910,33119,24904,19310,9631,41555,30286,20956,9407,46635,34965,24567,11396,41131,29512,18892,10400,35171,25758,17013,7861,30583,22697,15849,7968,30206,22081,14825,23210,16948,23210,25783,18878,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),14148,44130,32749,21145,9517,31577,23643,18313,9307,39346,28699,19942,8730,42094,30724,20900,9511,36515,26867,18298,9888,33752,24071,15897,7388,28125,20463,13725,6755,24076,17678,11962,18292,13390,18292,22610,17297,
营业成本(万元),10958,35772,26711,17457,8032,26331,19430,15267,8085,33399,24599,17079,7578,35309,25589,17576,8411,30046,22201,15133,8485,28781,20863,13904,6509,24589,18202,12303,6215,21435,15738,10606,15632,11477,15632,19782,15827,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),259,501,358,218,56,455,261,181,104,337,252,161,84,279,132,103,59,185,99,41,--,1,1,1,0,19,18,18,5,154,118,83,107,76,107,82,57,
销售费用(万元),244,710,518,364,158,649,486,371,147,598,427,297,134,603,456,311,97,625,471,295,122,608,404,247,84,516,324,216,101,466,292,186,454,315,454,469,468,
管理费用(万元),2254,6448,4230,2664,1250,4933,3593,2434,1058,5212,3730,2464,993,6176,4646,2919,1055,5860,4336,2997,1362,4705,3007,1972,933,3748,2610,1665,682,2193,1454,938,1818,1244,1818,1425,591,
