报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),9857,35140,24173,16374,7178,35325,22476,14088,6195,32757,20578,13520,6744,29150,28397,23587,21714,
营业收入(万元),9857,35140,24173,16374,7178,35325,22476,14088,6195,32757,20578,13520,6744,29150,28397,23587,21714,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),9609,36968,25149,16470,7660,31332,21361,13184,6106,28640,19123,12314,6594,25462,24070,19932,17294,
营业成本(万元),5246,20112,14103,9177,4152,18993,12893,7629,3297,18466,11780,7516,4119,16442,16583,13688,12137,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),41,306,140,69,29,299,117,79,49,311,188,121,60,292,157,222,145,
销售费用(万元),2373,9490,6558,4376,2127,7150,5571,3647,1832,7029,5139,3358,1737,6139,5251,4367,3569,
管理费用(万元),1483,5113,3934,2571,1241,4077,2324,1478,761,2294,1660,1099,601,1984,1644,1316,1287,
财务费用(万元),109,900,466,287,125,550,365,261,116,440,275,175,63,425,306,207,159,
资产减值损失(万元),356,1047,-52,-9,-15,262,91,90,49,100,80,45,14,181,129,132,-3,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,37,42,42,41,138,77,12,--,--,--,--,--,--,--,--,18,
对联营企业和合营企业的投资收益(万元),--,-5,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),249,-1456,-913,-54,-441,4131,1193,917,89,4117,1456,1206,150,3688,4327,3655,4437,
营业外收入(万元),16,130,163,153,24,260,15,2,0,62,44,43,41,49,56,94,49,
营业外支出(万元),2,12,9,6,3,38,28,11,1,43,40,1,0,2,5,2,1,
非流动资产处置损失(万元),--,--,0,0,--,0,3,3,--,2,0,0,0,0,1,--,--,
利润总额(万元),263,-1339,-759,92,-420,4353,1179,908,89,4136,1459,1248,191,3735,4379,3747,4486,
所得税费用(万元),98,-19,-10,61,-108,815,275,239,32,1056,370,321,47,950,1120,969,1120,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),165,-1320,-749,32,-312,3538,904,669,57,3080,1090,927,144,2785,3259,2778,3365,
归属于母公司所有者的净利润(万元),153,-1291,-719,46,-296,3537,908,672,57,3080,1090,927,144,2785,3259,2778,3365,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),12,-29,-29,-15,-16,1,-4,-3,--,--,--,--,--,--,--,--,-0,
基本每股收益,0.01,-0.13,-0.07,0,-0.04,0.52,0.14,0.1,0.01,0.62,0.22,0.19,0.03,0.56,0.65,0.56,0.67,
稀释每股收益,0.01,-0.13,-0.07,0,-0.04,0.52,0.14,0.1,0.01,0.62,0.22,0.19,0.03,0.56,0.65,0.56,0.67,
