报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),54313,35671,12545,79373,47432,31686,7516,60548,50778,42650,31926,
营业收入(万元),54313,35671,12545,79373,47432,31686,7516,60548,50778,42650,31926,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),51811,33843,11942,73761,46412,31839,8005,55652,45871,37284,26229,
营业成本(万元),37982,24519,8548,56520,33994,23143,5264,41446,32375,26980,18114,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),445,332,128,521,351,228,89,422,407,287,354,
销售费用(万元),5598,3594,1230,7323,4748,3256,974,6139,4968,3658,3404,
管理费用(万元),6933,4558,2028,7984,5794,3678,1718,6534,6475,5060,3722,
财务费用(万元),-29,-43,8,-124,-68,-64,-40,-152,518,282,136,
资产减值损失(万元),883,883,--,1537,1594,1599,--,1262,1128,1017,498,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),278,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2814,1862,603,5612,1020,-154,-489,4896,4906,5366,5697,
营业外收入(万元),495,277,12,2130,1197,1036,887,1699,951,1209,980,
营业外支出(万元),0,0,0,24,22,4,4,1,2,7,0,
非流动资产处置损失(万元),0,0,0,18,--,0,0,0,--,0,0,
利润总额(万元),3309,2140,614,7718,2196,878,394,6594,5856,6568,6677,
所得税费用(万元),465,216,168,1064,-74,-111,13,930,721,795,796,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2844,1924,447,6654,2269,989,381,5664,5134,5773,5880,
归属于母公司所有者的净利润(万元),2844,1924,447,6654,2269,989,381,5664,5134,5773,5880,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.2,0.17,0.05,0.67,0.19,0.1,0.04,0.57,0.74,0.98,0.99,
稀释每股收益,0.2,0.17,0.05,0.67,0.19,0.1,0.04,0.57,0.74,0.98,0.99,
