报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),278417,172760,415650,224638,147017,410037,142935,346616,387651,307642,
营业收入(万元),278417,172760,415650,224638,147017,410037,142935,346616,387651,307642,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),282110,181825,399020,233691,157480,373681,140271,319939,327188,289593,
营业成本(万元),190226,119291,274919,152909,98536,257268,87333,211718,223451,202800,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2119,1522,2766,962,616,2627,970,2496,3444,3115,
销售费用(万元),26411,16963,38538,23752,16319,34169,13629,30420,30528,24705,
管理费用(万元),52081,35431,74256,48851,33543,75223,31850,66652,60854,49526,
财务费用(万元),488,430,613,736,-83,400,-480,-1498,-564,1017,
资产减值损失(万元),10784,8188,7929,6481,8550,3994,6968,10151,9475,8430,
公允价值变动收益(万元),--,--,-1,-1,-1,-88,35,149,-106,-18,
投资收益(万元),5537,3632,15913,12761,10132,9106,2147,3762,794,594,
对联营企业和合营企业的投资收益(万元),--,--,-20,--,-33,-208,--,-26,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),15227,3880,32543,3708,-332,45373,4845,30588,61152,18625,
营业外收入(万元),853,650,30491,14275,9932,26330,6951,22534,11633,11751,
营业外支出(万元),503,459,1446,168,165,1889,697,1391,1977,1036,
非流动资产处置损失(万元),26,24,30,5,5,51,24,93,20,21,
利润总额(万元),15578,4071,61587,17814,9436,69814,11098,51731,70808,29341,
所得税费用(万元),1524,1351,4481,2400,2098,4038,1488,3646,2743,2812,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),14054,2721,57106,15415,7338,65776,9610,48085,68064,26528,
归属于母公司所有者的净利润(万元),14942,3868,58099,16215,7914,65660,10267,47672,67492,25977,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-889,-1147,-993,-800,-576,116,-657,413,572,552,
基本每股收益,0.1,0.03,0.4,0.11,0.05,0.45,0.07,0.33,0.52,0.21,
稀释每股收益,0.1,0.03,0.4,0.11,0.05,0.45,0.07,0.33,0.52,0.21,
