报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),44191,24813,10440,47966,32813,21097,10062,38850,30311,23420,
营业收入(万元),44191,24813,10440,47966,32813,21097,10062,38850,30311,23420,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),41693,23188,9625,42917,30583,19546,9528,35390,27833,21371,
营业成本(万元),33886,18708,7511,36582,25296,16388,7724,29892,23256,18388,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),257,137,75,398,250,162,87,253,170,107,
销售费用(万元),827,427,183,778,579,385,170,564,676,184,
管理费用(万元),6050,3578,1817,4426,3883,2269,1076,3847,3424,2181,
财务费用(万元),216,172,108,517,371,264,121,531,214,184,
资产减值损失(万元),458,166,-68,217,204,78,350,304,92,328,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),11,--,--,--,--,--,--,--,220,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2509,1625,815,5048,2230,1551,534,3460,2698,2049,
营业外收入(万元),386,264,32,672,308,213,15,210,130,37,
营业外支出(万元),7,7,0,80,10,10,7,169,21,27,
非流动资产处置损失(万元),--,--,--,--,--,--,--,165,8,27,
利润总额(万元),2888,1882,847,5640,2528,1754,542,3501,2807,2059,
所得税费用(万元),367,205,128,969,414,339,86,316,345,270,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),2521,1678,719,4671,2113,1414,456,3185,2462,1789,
归属于母公司所有者的净利润(万元),2521,1678,719,4671,2113,1414,456,3185,2462,1789,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.28,0.21,0.09,0.58,0.26,0.18,--,0.4,0.34,0.43,
稀释每股收益,0.28,0.21,0.09,0.58,0.26,0.18,--,0.4,0.34,0.43,
