报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),33859,22043,6291,41646,27279,17787,4212,34643,21152,33598,27520,16857,10911,
营业收入(万元),33859,22043,6291,41646,27279,17787,4212,34643,21152,33598,27520,16857,10911,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),34444,22709,9793,39081,26506,17107,6541,31407,21599,30705,24213,14452,8731,
营业成本(万元),20241,13631,5647,23895,16089,10480,3347,19457,12695,19120,15204,8145,5483,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),147,88,36,205,138,91,21,135,86,229,211,620,597,
销售费用(万元),5963,3775,1859,6369,4457,2830,1406,5263,3937,5255,3863,2257,885,
管理费用(万元),6976,4475,2133,7298,5200,3380,1664,5909,4487,5719,4755,3439,1751,
财务费用(万元),22,15,17,90,74,21,35,-74,-10,-134,5,-63,-11,
资产减值损失(万元),1095,726,101,1224,548,304,67,717,405,516,174,53,25,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),454,434,22,78,5,--,7,--,--,--,--,2,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-131,-233,-3480,2643,779,681,-2322,3236,-447,2893,3307,2407,2180,
营业外收入(万元),321,114,51,586,294,166,71,546,410,583,440,135,43,
营业外支出(万元),14,10,2,28,25,15,4,13,13,18,177,4,0,
非流动资产处置损失(万元),6,1,--,2,--,2,--,12,--,7,8,3,--,
利润总额(万元),176,-128,-3431,3201,1048,832,-2255,3770,-50,3458,3571,2538,2222,
所得税费用(万元),-251,-243,-599,456,57,51,-391,527,-48,486,485,254,308,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),427,114,-2832,2745,991,780,-1865,3243,-2,2972,3085,2284,1914,
归属于母公司所有者的净利润(万元),1190,693,-2334,2707,1163,963,-1722,3132,55,2999,3072,2396,1986,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-763,-579,-497,38,-173,-182,-143,111,-57,-27,13,-112,-72,
基本每股收益,0.11,0.06,-0.21,0.32,0.14,0.12,-0.21,0.38,0.01,0.36,0.41,0.32,--,
稀释每股收益,0.11,0.06,-0.21,0.32,0.14,0.12,-0.21,0.38,0.01,0.36,0.41,0.32,--,
