报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),98890,407971,295532,181576,82016,330548,237719,145970,66204,256333,184377,113570,50407,205803,146354,175783,152756,119649,
营业收入(万元),98890,407971,295532,181576,82016,330548,237719,145970,66204,256333,184377,113570,50407,205803,146354,175783,152756,119649,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),85703,343511,250600,158995,73314,276673,197588,122255,55625,212458,152371,94958,43068,171094,121521,142975,124535,100252,
营业成本(万元),60504,254162,185195,117190,53587,211121,151530,93956,42899,166897,120109,75000,33900,137433,97836,114632,97776,80344,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1390,5416,3958,2392,1120,4040,2352,1487,668,2510,1833,1156,544,2048,1473,1775,1535,1027,
销售费用(万元),21451,75665,54948,34974,16121,54889,38046,23379,10318,35983,25074,15300,6772,25954,18168,21288,19986,15073,
管理费用(万元),2926,8205,6167,4424,2548,6760,5664,3658,1914,6562,4787,3232,1837,5680,4165,5205,4783,3269,
财务费用(万元),-498,-428,-181,-98,-46,-458,-398,-281,-143,256,221,151,58,-128,-132,54,399,456,
资产减值损失(万元),-71,492,512,113,-17,321,394,56,-32,249,347,120,-43,107,11,22,55,83,
公允价值变动收益(万元),--,--,--,--,-499,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),244,-207,-393,-395,339,100,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13689,65137,45396,23005,8542,53975,40132,23715,10579,43875,32006,18612,7339,34709,24833,32808,28221,19398,
营业外收入(万元),221,920,692,435,528,2587,1959,695,104,1122,489,269,96,617,454,746,804,333,
营业外支出(万元),38,234,197,135,47,604,166,104,12,261,234,199,38,140,107,105,177,178,
非流动资产处置损失(万元),--,--,98,67,1,286,43,16,4,103,97,--,6,93,69,31,46,80,
利润总额(万元),13872,65824,45891,23305,9023,55957,41925,24306,10671,44736,32261,18681,7398,35187,25180,33449,28848,19553,
所得税费用(万元),3066,14496,10092,4991,1895,12402,9411,5380,2399,10041,7316,4204,1670,7892,5839,7989,7332,4971,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),10806,51328,35799,18314,7128,43555,32514,18926,8272,34696,24945,14477,5728,27295,19342,25460,21516,14583,
归属于母公司所有者的净利润(万元),10806,51328,35799,18314,7128,43555,32514,18926,8272,34696,24945,14477,5728,27295,19342,25460,21516,14583,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.23,1.14,0.8,0.41,0.16,0.97,0.72,0.42,0.18,0.86,0.62,0.36,0.14,0.67,0.48,0.63,0.53,0.97,
稀释每股收益,0.23,1.14,0.8,0.41,0.16,0.97,0.72,0.42,0.18,0.86,0.62,0.36,0.14,0.67,0.48,0.63,0.53,0.97,
