报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),1312926,944897,602511,275199,1223811,158443,101016,47667,241725,179081,113281,49673,266127,201503,131590,55590,273392,196193,117953,43350,242300,178842,104708,36781,199214,140666,79244,29313,166753,68027,151907,130493,94979,
营业收入(万元),1312926,944897,602511,275199,1223811,158443,101016,47667,241725,179081,113281,49673,266127,201503,131590,55590,273392,196193,117953,43350,242300,178842,104708,36781,199214,140666,79244,29313,166753,68027,151907,130493,94979,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),940315,670051,432945,214824,874151,153978,98646,45994,224660,164086,103344,45397,239586,180403,118850,51594,245873,175794,107132,39446,220561,160124,95671,33682,181117,128618,72101,26821,150752,61246,135037,118397,87738,
营业成本(万元),399766,284411,175450,80582,329571,111729,71783,33683,165596,121080,75873,33045,185050,140762,92885,40931,195523,139869,84716,30878,177068,129378,77163,26115,150433,108461,59766,21647,126952,50780,116253,101748,76998,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),254631,173938,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),23561,16499,10444,5053,25232,1271,838,481,1849,1442,1157,359,1860,1241,786,271,1784,1224,825,395,1418,1176,884,318,1168,842,546,204,795,332,654,527,281,
销售费用(万元),203402,159474,108387,57065,190684,23267,15254,7460,32400,23792,14928,7230,29019,21990,14362,6154,27895,21353,13760,5222,23247,17785,10564,4385,16676,12176,7300,3239,10555,4945,10406,9158,5442,
管理费用(万元),83751,60183,156067,82670,311771,16131,9872,4590,21592,15514,9996,4940,21404,15413,10475,4643,19483,13282,8230,3719,17703,12705,7321,3291,14383,9507,5439,2461,11037,4264,6726,6003,4635,
财务费用(万元),-34528,-23681,-14073,-6778,-4605,-19,-18,32,-522,-219,-169,-53,-1502,-1254,-828,-334,-1466,-1154,-923,-341,-1256,-1395,-732,-275,-2476,-1420,-461,-390,-94,25,281,619,165,
