报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30,
营业总收入(万元),15676900,11565200,7541700,3674800,14428100,10594100,7053500,3622900,15521100,11638100,7795100,4013400,15442500,11617000,7690200,3603000,13546900,9991600,6512900,3123100,11588600,8597500,5828900,2887700,10311100,7766300,5145600,2503500,8236800,6021600,3885600,1715700,5476800,4004100,2608600,1237900,4206000,3134900,2124800,874800,3501700,2722766,1767039,770654,2530137,1797660,1128976,491549,1745167,1195169,765822,341766,1724659,1122731,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
利息收入(万元),23534700,17449000,11412600,5542100,23091000,17013600,11313300,5662600,20391800,14941600,9805000,4945800,20338200,15452100,10286700,5223700,19905200,14520200,9417800,4681900,18215400,13492200,8901800,4390600,15188700,10949800,7258100,3585900,11728100,8436300,5185900,2297200,7077600,5000400,3168800,1505000,5344100,3874300,2463400,1204900,5631100,4228591,2725936,1242085,4007000,2879501,1721368,889482,2736114,2195079,1210326,643953,1500467,977125,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),5268400,3913700,2619100,1340700,5406800,4086900,2737500,1371200,5626600,4272100,2978700,1552600,5510700,4084300,2702200,1283100,4229300,3066100,2027900,940800,3306100,2504000,1741700,769300,2209100,1677800,1070800,544000,1599100,1224500,818100,305400,875300,670500,465900,214300,500600,378500,244200,98900,475500,449469,321138,140898,266546,198763,109936,37511,122371,96626,71208,15591,28313,16928,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
其他业务收入(万元),408200,316000,211900,102200,411700,280600,183200,79600,416200,281700,141700,72300,310400,217800,144200,66400,141400,89300,52100,13200,41700,32600,16600,10100,51900,22600,8700,1700,17200,7300,5500,1200,9700,1600,500,100,2300,1900,1800,200,700,10280,354,562,4067,-1644,6531,399,1131,-5846,111,160,2534,-380,
营业总成本(万元),9747800,6373800,3931100,1847500,8343200,5701700,3633300,1866600,9504500,6639500,4276900,2229300,9417500,6556500,4159700,1819000,7599000,5075400,3080100,1425800,5908300,4098400,2735700,1377200,5237900,3857800,2557900,1244000,4508300,3175100,2040500,891100,3175700,2281000,1441700,675800,2645500,1794400,1168200,544200,2460500,1530355,951774,444645,1610178,1135579,674078,332698,1220636,792318,484908,223406,1343374,879863,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
利息支出(万元),15866700,12066800,8025200,3968000,14435800,10716300,7201800,3594600,10923400,7852700,5061200,2535200,10911400,8403200,5587300,2908500,10691600,7779700,5057800,2562400,9912100,7433300,4845400,2379200,7473400,5218000,3471000,1688900,5246000,3765900,2231400,956800,2490300,1698300,1052300,495700,2120100,1605300,1068400,522300,2593100,1948014,1256333,582264,1748985,1278969,713686,434844,1119323,1090142,512118,317884,792152,519035,
手续费及佣金支出(万元),455300,297000,186400,147900,632600,469100,289800,103100,400500,277800,172800,95400,390200,289100,187700,80500,405400,285100,184100,69400,310500,205300,119500,49300,156800,109700,67800,30200,89000,45100,26200,10300,46400,24900,15000,8400,34200,23300,14400,7400,29400,21270,13937,6415,27411,18245,11405,5051,19730,13950,9290,3166,8198,5725,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
其他业务成本(万元),210200,145100,91000,44600,204700,130500,88000,35000,124300,86200,56100,26900,119800,83500,51400,24200,77600,44200,24600,11000,13200,-6500,-14100,3900,29300,108400,75500,75700,125800,56700,40900,48500,80100,68000,56700,1400,60900,51300,45300,0,27000,1329,3572,4461,8454,--,290,1299,27522,--,3107,2446,--,--,
营业税金及附加(万元),191900,121000,78100,36200,148400,110200,75300,35300,433800,379400,349400,250000,996800,753400,504700,244600,900500,664700,437100,212100,800400,597300,401200,194100,782500,583100,384900,187200,611600,436600,283300,125900,382700,279500,181400,85000,280200,202300,126600,59400,291600,216958,141273,67331,204737,145506,89035,39769,139113,97537,62030,26869,72565,46507,
销售费用(万元),4713700,3081400,1808900,909600,4576100,2996400,1756100,896200,4808600,3107400,1795200,953400,4820800,3235200,2102500,912600,4507700,3048600,1896600,836400,3795800,2635400,1671400,777500,3506400,2471200,1556900,647600,2933300,2100100,1282600,537900,2162500,1509900,977300,472900,1773700,1202500,711200,352500,1490100,1009231,645455,322468,1170477,769543,487927,226429,832572,540360,319031,149135,401085,245703,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
资产减值损失(万元),--,3026300,1953100,857100,3414000,2464600,1713900,900100,4137800,3066500,2076200,999000,3480100,2484400,1501100,637600,2113200,1317900,721800,366300,1298900,872200,677200,401700,919700,695100,540600,333500,837600,581700,433700,178800,550400,423600,226300,116500,530700,338300,285100,132300,651800,302837,161474,50386,226510,220531,96827,65202,221429,154421,100739,44955,141939,109400,
公允价值变动收益(万元),835700,1443100,1147000,731800,174200,-140300,117700,284300,-269900,-220300,-318800,-175400,134700,96000,57700,51700,125800,119300,22600,9900,-37800,-11700,1200,17400,1200,-3200,36600,6500,-28000,-4000,-5300,-700,-400,600,-800,5500,4400,-2400,-800,-8100,20600,31025,-1304,7582,4421,-92,2371,-3878,4186,-5362,-6825,-2338,--,--,
