报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),26038,70401,32043,14309,3079,16241,11408,7747,2704,11711,9581,7005,4051,17283,14316,10131,5181,23859,26418,23134,
营业收入(万元),26038,70401,32043,14309,3079,16241,11408,7747,2704,11711,9581,7005,4051,17283,14316,10131,5181,23859,26418,23134,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),20685,55852,28095,12807,3897,14249,10081,6676,2582,9852,7932,5723,3040,13668,11190,7942,4165,18513,19838,16880,
营业成本(万元),8007,25342,14672,7588,2232,10617,7472,5082,1878,7105,5856,4157,2441,10457,8890,6147,3136,14976,15950,13482,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),620,1846,797,283,50,208,125,90,25,109,77,62,39,127,115,83,46,207,220,148,
销售费用(万元),8047,15598,5880,1972,165,1042,636,431,203,779,631,467,194,884,710,505,232,1021,1130,1050,
管理费用(万元),3787,12217,5891,2728,1385,2333,1741,1042,432,1999,1426,1049,517,2172,1463,1172,769,2325,2483,2305,
财务费用(万元),118,960,818,27,-8,-59,-37,-28,-17,-183,-98,-37,-149,-94,-77,-56,-29,-48,-1,10,
资产减值损失(万元),105,-111,38,208,73,108,144,60,60,43,39,25,-1,120,90,90,12,32,57,-114,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),76,239,173,145,87,405,335,212,78,218,76,19,19,50,32,9,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5438,14824,4121,1647,-731,2398,1662,1283,201,2077,1726,1300,1030,3666,3158,2198,1017,5345,6580,6254,
营业外收入(万元),289,352,262,119,19,516,87,81,72,606,438,437,--,23,12,8,7,335,33,70,
营业外支出(万元),11,52,14,11,0,6,5,--,--,0,0,0,0,--,--,--,--,2,1,15,
非流动资产处置损失(万元),--,--,0,0,--,1,0,--,--,0,0,0,0,--,--,--,--,0,1,1,
利润总额(万元),5717,15124,4369,1756,-712,2909,1743,1363,273,2683,2163,1737,1030,3689,3170,2206,1024,5679,6612,6309,
所得税费用(万元),912,3452,1099,249,-130,393,201,181,26,345,305,238,144,478,434,293,124,789,926,912,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4805,11673,3270,1507,-583,2516,1542,1182,247,2338,1859,1499,885,3211,2736,1913,900,4890,5686,5397,
归属于母公司所有者的净利润(万元),4805,11587,3098,1387,-558,2553,1559,1191,247,2338,1859,1499,885,3211,2736,1913,900,4890,5686,5397,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,
少数股东损益(万元),0,86,171,120,-24,-37,-17,-9,--,--,--,--,--,--,--,--,--,--,--,-0,
基本每股收益,0.22,0.66,0.19,0.1,-0.04,0.19,0.11,0.09,0.04,0.38,0.31,0.26,0.17,0.63,0.54,0.38,0.18,0.96,1.11,1.06,
稀释每股收益,0.22,0.66,0.19,0.1,-0.04,0.19,0.11,0.09,0.04,0.38,0.31,0.26,0.17,0.63,0.54,0.38,0.18,0.96,1.11,1.06,
