报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),46771,25666,10872,54074,33435,20135,7489,35934,21380,10864,2182,34487,19228,11970,2458,30834,22209,13483,2352,33000,22358,29876,32531,10433,18166,16418,14319,
营业收入(万元),46771,25666,10872,54074,33435,20135,7489,35934,21380,10864,2182,34487,19228,11970,2458,30834,22209,13483,2352,33000,22358,29876,32531,10433,18166,16418,14319,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),39235,23287,10666,47937,29103,17525,7427,29136,17499,8704,2437,29540,16243,9909,2422,25848,18174,11035,2352,27741,19388,25054,26056,8319,15287,13870,12161,
营业成本(万元),32534,18725,7615,36968,22416,13669,5344,23132,13660,6297,1408,24960,13587,7695,1651,20948,14757,8854,1595,22491,15377,19694,21028,7163,13682,12715,11809,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),596,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),293,58,4,181,89,69,6,120,7,4,3,26,34,24,16,57,47,29,5,149,118,138,56,31,162,221,202,
销售费用(万元),138,55,21,132,77,33,48,82,71,32,16,108,70,44,20,161,164,81,31,123,96,125,--,0,0,0,0,
管理费用(万元),5620,3742,1565,6811,4709,3228,1720,5194,3512,2354,912,4278,3011,1880,754,4162,2743,1793,725,4215,3141,5320,4907,827,1150,868,306,
财务费用(万元),-1687,-355,1500,1837,1028,272,297,-1116,-443,-400,74,-880,-674,-6,34,140,-39,43,32,226,204,-258,-23,93,57,9,-72,
资产减值损失(万元),1741,1063,-38,2008,784,255,11,1724,694,417,25,1047,214,272,-54,380,502,235,-36,537,453,34,88,206,237,58,-83,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),--,--,--,24,24,24,0,-162,-117,-48,-13,-23,-3,-2,-1,-9,-2,-2,-5,374,298,-32,1,9,-15,-1,-8,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,-123,-117,-48,-13,-23,--,-2,-1,-8,--,--,-5,--,--,--,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),7572,2410,216,6226,4357,2634,63,6636,3764,2111,-268,4924,2982,2059,36,4976,4032,2447,-5,5633,3268,4791,6477,2122,2864,2547,2150,
营业外收入(万元),11,10,9,274,120,104,11,114,86,28,159,426,42,23,2,175,52,36,13,1180,662,2497,2208,255,590,550,373,
营业外支出(万元),62,10,0,56,55,55,2,99,97,81,27,128,91,71,56,199,6,5,4,150,32,61,81,1,17,4,16,
非流动资产处置损失(万元),--,--,--,--,1,1,2,11,9,9,2,18,--,11,4,31,--,--,--,--,--,--,--,0,0,0,0,
利润总额(万元),7521,2410,225,6443,4422,2682,72,6651,3753,2059,-136,5221,2933,2011,-19,4952,4078,2478,5,6662,3898,7227,8604,2377,3437,3093,2508,
所得税费用(万元),1500,409,201,955,1477,870,65,1392,919,515,51,724,614,448,40,931,899,463,45,1652,967,513,816,232,261,412,326,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),6021,2001,24,5488,2945,1812,7,5259,2835,1544,-186,4497,2319,1563,-59,4021,3180,2016,-40,5010,2931,6714,7788,2145,3177,2681,2182,
归属于母公司所有者的净利润(万元),6272,2107,67,5479,3088,1891,39,5341,2991,1672,-125,4897,2684,1786,21,4486,3276,2151,15,4901,3114,6737,8253,2192,3560,2684,2182,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
少数股东损益(万元),-251,-105,-43,9,-143,-79,-32,-82,-156,-128,-61,-400,-366,-223,-80,-465,-96,-135,-55,109,-183,-24,-465,-47,-383,-3,0,
基本每股收益,0.32,0.11,0,0.28,0.16,0.1,0,0.29,0.16,0.09,-0.01,0.4,0.22,0.15,0,0.5,0.36,0.24,0,0.54,0.35,0.75,0.98,0.34,0.57,0.45,0.38,
稀释每股收益,0.32,0.11,0,0.28,0.16,0.1,0,0.29,0.16,0.09,-0.01,0.4,0.22,0.15,0,0.5,0.36,0.24,0,0.54,0.35,0.75,0.98,0.34,0.57,0.45,0.38,
