报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),40278,16563,81073,56303,35318,16541,56303,37637,23986,9475,55523,39370,26147,10936,51464,33703,19445,8544,46371,34747,17484,7824,29654,20979,14789,6754,32195,27296,22353,
营业收入(万元),40278,16563,81073,56303,35318,16541,56303,37637,23986,9475,55523,39370,26147,10936,51464,33703,19445,8544,46371,34747,17484,7824,29654,20979,14789,6754,32195,27296,22353,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),38789,16571,79502,55230,34259,15781,53432,36181,22989,9164,50427,36186,24323,10432,46672,30926,18545,8152,41214,30507,15481,6912,25988,18269,12770,6051,26899,22354,18518,
营业成本(万元),30067,12250,61027,42379,25927,12035,40389,26599,16695,6452,39196,28228,18750,7777,37027,24393,14123,6137,33475,25037,12202,5455,20881,14800,10399,4754,22099,18506,14819,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),281,133,750,494,332,172,521,186,128,82,339,232,160,55,365,188,110,38,216,144,64,30,152,121,80,33,210,37,18,
销售费用(万元),1960,742,4285,2959,1986,880,2897,1938,1254,532,3025,2199,1489,722,1859,1213,815,372,1488,1145,796,318,579,414,271,139,573,425,440,
管理费用(万元),5426,2613,10578,7801,5105,2420,8874,6820,4538,1987,7737,5435,3624,1810,6486,4688,3156,1547,5706,4114,2414,1145,4189,2947,1928,1095,3694,3228,3043,
