报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),204104,121545,74667,39923,172372,129686,86397,43241,169137,117868,80327,36731,132604,93449,58263,26424,130249,85808,56406,25696,113009,78145,51150,22228,103794,72345,48285,23011,96132,61577,40535,19397,87725,53977,31750,14302,57474,38273,23719,11321,77314,54473,35502,16166,56746,38928,22948,10654,46995,35809,23823,11144,
营业收入(万元),204104,121545,74667,39923,172372,129686,86397,43241,169137,117868,80327,36731,132604,93449,58263,26424,130249,85808,56406,25696,113009,78145,51150,22228,103794,72345,48285,23011,96132,61577,40535,19397,87725,53977,31750,14302,57474,38273,23719,11321,77314,54473,35502,16166,56746,38928,22948,10654,46995,35809,23823,11144,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),209025,126756,80445,40479,169864,125650,82834,40503,154824,100035,67867,32266,134887,96256,62526,29264,140772,92936,62600,28141,116395,81133,53981,22004,104109,71879,47817,22457,90821,58481,38945,18861,93587,58155,34572,15805,58287,38440,24139,11527,76595,54107,35135,16325,56915,38461,22820,10682,43545,33206,22050,10262,
营业成本(万元),197184,119373,75249,38027,156289,117252,76810,37859,139864,91858,62341,29755,119686,87048,56761,26652,127130,84067,56759,25761,104548,72761,48399,19538,94056,65238,43563,20498,79592,52080,34834,16381,84377,52372,30510,13901,51766,34307,21567,10135,70540,50012,32306,14983,52616,35795,21169,9841,39895,30501,20210,9433,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
