报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),47931,179020,133595,84566,42518,156619,116558,73355,37209,146996,110673,70710,38342,146932,111611,72372,38131,142171,108710,70368,35889,132285,100565,62231,32607,117279,98216,84601,
营业收入(万元),47931,179020,133595,84566,42518,156619,116558,73355,37209,146996,110673,70710,38342,146932,111611,72372,38131,142171,108710,70368,35889,132285,100565,62231,32607,117279,98216,84601,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),42274,176553,118950,74772,36997,141154,104254,64739,32577,132107,97863,61154,33143,131922,97557,62183,32317,121404,90969,58471,28840,111672,83902,41782,27040,100152,84419,74597,
营业成本(万元),31857,120343,89745,56714,42518,108080,80222,51384,26252,104822,78583,49004,26428,105060,79051,51160,27277,97669,73736,47363,24061,89745,68119,41782,22148,78704,66231,58589,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),562,2582,1998,1252,682,2136,1206,760,486,1607,1225,919,472,1342,956,604,409,1156,918,573,325,1167,861,495,305,1096,820,673,
销售费用(万元),4265,14421,8624,5078,2391,10566,6570,3003,1614,8709,4976,2970,2583,8976,5441,2799,1613,7409,4698,2958,1536,7161,4514,2642,1469,6802,6291,4407,
管理费用(万元),5218,35165,16610,10046,4944,18715,14700,8385,4076,16304,11770,7005,3579,15749,11113,6781,3004,14585,10679,6640,2933,13468,9818,6384,3006,12076,10338,9828,
财务费用(万元),352,1116,894,625,135,810,416,65,114,383,162,144,62,402,194,38,8,108,25,32,-33,-334,-49,236,92,562,227,352,
资产减值损失(万元),21,2927,1080,1056,37,847,1140,1142,34,281,1147,1112,19,393,802,800,6,476,913,905,19,466,639,632,20,911,511,748,
