报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),21908264,13536578,8629090,3292291,21101256,14066603,8871701,3359233,22972215,14705968,9420494,4033097,24191264,14855477,9323607,2338759,11972427,8489001,5041608,1844986,9788630,5652022,3692859,1979553,9045624,6352293,4245364,1920330,8071081,5866474,4012732,2011587,6490892,4309875,2809374,1244695,4639267,2936314,1858032,737497,3576815,2447879,672525,2740096,2352935,2028203,
营业收入(万元),21908264,13536578,8629090,3292291,21101256,14066603,8871701,3359233,22972215,14705968,9420494,4033097,24191264,14855477,9323607,2338759,11972427,8489001,5041608,1844986,9788630,5652022,3692859,1979553,9045624,6352293,4245364,1920330,8071081,5866474,4012732,2011587,6490892,4309875,2809374,1244695,4639267,2936314,1858032,737497,3576815,2447879,672525,2740096,2352935,2028203,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
营业总成本(万元),20895520,12766622,8134565,3140307,20042295,13227503,8410613,3212669,21626382,13693110,8778305,3775750,22680000,13781564,8699388,2180774,11338652,7934379,4761375,1737619,9332497,5372245,3546624,1900451,8605238,6005984,3990111,1785362,7647260,5500498,3749742,1874040,6224707,4073060,2662723,1189630,4475773,2804579,1777583,704807,3435709,2331395,639381,2666110,2292736,1974042,
营业成本(万元),17052602,10435937,6622122,2544088,16315256,10895492,6916915,2617539,18196468,11393745,7245000,3097926,19302170,11568121,7288899,1830225,9463010,6716900,4065640,1508116,8046890,4606270,3051886,1664161,7394431,5178422,3425422,1547993,6530548,4786796,3275161,1653984,5347797,3567279,2337163,1032294,3876861,2445469,1550980,613554,2967692,2033918,546269,2326600,2008431,1742561,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
研发费用(万元),1089692,637947,402665,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
营业税金及附加(万元),203840,117745,81250,34016,211390,137506,90713,35542,186597,94908,65623,26984,130989,76501,50020,7339,65244,43007,26952,5738,53955,22352,16427,7732,45766,26821,18743,8402,40967,28879,19706,11274,23967,14064,10529,6090,18419,11354,8497,3403,16474,10139,4332,11727,10729,6965,
销售费用(万元),774584,411371,251251,116611,721763,454249,281587,107626,724987,491523,317866,130850,795353,532012,337221,96176,536922,326711,166972,44307,308520,162157,104369,45832,315275,183661,135354,49880,273469,169426,121358,51203,198035,108718,69321,29128,113266,68332,42214,16316,78735,47207,14779,64107,45303,34803,
管理费用(万元),1343088,930381,601711,433585,2391060,1572844,992089,435503,2182867,1528826,993068,469206,2233161,1463296,942523,241599,1111628,744472,424271,152417,854803,523027,326863,164178,761684,565257,363803,164960,692435,442257,285851,139897,572559,341823,216040,112420,419499,257472,161386,68690,334164,209602,58173,235572,192090,163911,
财务费用(万元),127940,116467,76864,27165,125377,110722,63235,23632,100364,91447,49002,29972,66032,75540,27551,-5650,48084,36382,28897,15148,45892,43240,26419,14245,49287,39073,27805,11042,94614,60488,37570,12093,35458,25802,18225,7796,20113,13024,6541,2155,25891,23758,13482,23951,25220,13721,
资产减值损失(万元),140748,18015,23554,-15157,277449,56692,66074,-7173,235099,92661,107747,20813,152295,66094,53174,11086,113764,66906,48642,11893,22437,15200,20660,4303,38794,12749,18985,3086,15227,12652,10096,5589,46891,15376,11445,1901,27615,8928,7965,689,12752,6771,2346,4154,10963,12080,
公允价值变动收益(万元),41959,32227,21830,-6718,-33051,-4283,7571,-5234,12300,3325,1468,-4671,-32,65,68,0,-594,-128,-174,-214,162,392,478,-5,-3475,-3695,-3631,-10,2748,-961,-196,-96,-674,-285,-639,-179,-964,-610,0,--,--,1530,8388,--,0,0,
投资收益(万元),205393,139021,35458,2592,269431,64304,39772,15512,161310,61150,44413,18824,80078,57496,49994,6118,80013,33046,20379,5887,49008,43186,30022,15726,58920,21590,5854,4382,69143,41974,31792,9554,64497,30710,19748,3443,35694,11059,6312,1249,23164,18189,6697,22209,2601,2993,
对联营企业和合营企业的投资收益(万元),55831,29115,17583,6505,52624,--,23323,8020,45335,36180,33330,5273,41896,28969,20915,1631,34930,28667,17408,4400,36379,35033,24389,11936,54095,20000,3668,3950,66803,41599,31505,9462,61179,26365,16793,3443,34374,10061,5614,-69,17837,11098,3271,19232,2531,2425,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,0,--,0,0,
营业利润(万元),1473483,1006668,589869,163448,1474316,933567,534815,156843,1519444,1077332,688070,271500,1591310,1131475,674282,164102,713195,587540,300438,113039,505303,323355,176735,94824,495831,364204,257476,139341,495711,406989,294586,147005,330008,267240,165761,58329,198223,142183,86761,33939,164271,136204,48230,96195,62800,57153,
营业外收入(万元),98758,48163,33912,33567,101833,83956,38835,39672,203422,99571,73863,38796,211949,69203,40729,13286,105763,52447,38917,14076,125076,34513,26333,12373,76010,37455,23915,9484,53951,25719,15422,5630,46850,16226,12943,2685,50680,24121,17282,2455,34692,23417,7748,31379,9507,6162,
营业外支出(万元),38004,11980,5759,1091,36217,19120,9572,3142,29408,12084,6199,2160,98415,16528,14602,1838,33811,19049,16136,2456,37031,2253,1269,198,12574,2983,1717,753,5450,3612,1672,577,10313,2870,1468,365,8769,4000,3279,645,5909,4669,988,8179,3730,5322,
