报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),611516,3877577,2589623,1922821,1053090,5206413,3368747,2409393,1010540,5981080,3977208,2739529,899236,6097205,3949509,2542792,938895,5126918,3543584,2511437,1010516,5850138,4509872,2918524,1232435,5804534,4100376,2848492,1245154,2047269,1410877,883632,402266,1856230,1306358,843217,1605889,1140738,797844,
营业收入(万元),611516,3877577,2589623,1922821,1053090,5206413,3368747,2409393,1010540,5981080,3977208,2739529,899236,6097205,3949509,2542792,938895,5126918,3543584,2511437,1010516,5850138,4509872,2918524,1232435,5804534,4100376,2848492,1245154,2047269,1410877,883632,402266,1856230,1306358,843217,1605889,1140738,797844,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),592492,4057557,2669518,1993611,1033341,5294043,3388068,2423962,1037856,6419878,4094652,2791389,905720,5913210,3774427,2425961,880244,4843786,3314662,2391807,949243,5537112,4132842,2651740,1116462,5323623,3658752,2513779,1093888,1862233,1275055,790613,364356,1713691,1202771,779874,1489724,1056109,747662,
营业成本(万元),561269,3413875,2290732,1721267,940463,4775506,3066152,2202948,918318,5622815,3699354,2558520,795689,5389267,3400950,2231174,755849,4378188,3050357,2228596,878657,5070453,3827744,2450224,1026073,4957687,3426516,2353435,1023689,1644461,1135547,702688,320616,1520221,1079956,701032,1326678,925153,639479,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
