报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),17303,89855,65296,42341,20116,110096,82016,58905,21864,110682,79835,57402,19276,85586,57518,36831,13961,74940,45540,29383,12314,58556,41931,25505,11323,52317,39048,24567,10881,52134,38031,23991,10814,44906,18638,29277,24127,13058,
营业收入(万元),17303,89855,65296,42341,20116,110096,82016,58905,21864,110682,79835,57402,19276,85586,57518,36831,13961,74940,45540,29383,12314,58556,41931,25505,11323,52317,39048,24567,10881,52134,38031,23991,10814,44906,18638,29277,24127,13058,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),12945,68530,48125,31619,15390,78839,55467,39421,16327,68732,48805,35150,13491,51710,34597,23244,10640,52550,30925,20276,9290,40527,29419,17544,7965,35125,26741,16686,8160,36034,26391,16743,8314,34719,15058,22908,18538,9518,
营业成本(万元),8619,45490,33635,22536,11322,58637,41807,30430,12201,50913,36196,26712,9724,36147,23859,16042,6922,33368,20292,13392,6106,26329,19351,11088,5060,22271,17522,10725,4915,21993,15771,9166,4695,20542,8691,13919,10247,6721,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
