报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),19590041,12688852,6193311,26681990,18672580,12044299,5327261,23896836,16441193,10559585,4886953,21092129,14493314,9365145,3743418,16709119,11618850,7520442,3340263,14483701,10524419,6618956,2786331,12703657,8830155,5518903,2420001,11347088,7760483,5068494,2078906,10149448,6474548,4071999,1745503,7554017,6079301,5062154,
营业收入(万元),19546162,12660352,6177650,26609043,18617242,12006271,5306267,23869590,16424040,10550606,4883101,21092129,14493314,9365145,3743418,16564073,11618850,7520442,3340263,14483701,10524419,6618956,2786331,12703657,8830155,5518903,2420001,11347088,7760483,5068494,2050530,10149448,6398726,4071999,1723315,7554017,6079301,5062154,
利息收入(万元),43094,27854,15016,72879,55283,37989,20977,27237,17143,8970,3852,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金收入(万元),785,645,645,67,56,40,17,9,9,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,145045,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28375,--,75822,--,22189,--,0,0,
营业总成本(万元),18753035,12085936,5927968,25700308,17943726,11563616,5115163,22968578,15744364,10073695,4685607,20370967,13835778,8923993,3621685,16062080,11192869,7235980,3224061,13876574,10096074,6320838,2692947,12186387,8470008,5273611,2331934,10872228,7427398,4838196,2006655,9758443,6210841,3910929,1690109,7230890,5898647,4854316,
营业成本(万元),16894310,10828084,5297158,22861648,16164386,10422820,4641903,20768634,14367721,9159793,4212579,17962441,12405144,7975414,3277432,14249848,10116450,6548560,2968774,12387487,9120500,5710048,2441121,10945797,7633387,4759082,2119859,9711330,6720225,4380359,1795712,8883221,5618937,3572155,1507775,6485790,5307643,4390873,
利息支出(万元),10867,7412,4276,17587,10946,7386,1914,1964,448,339,350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金支出(万元),44,33,21,35,8,16,9,11,6,2,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
研发费用(万元),439358,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,115810,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21785,--,54885,--,15441,--,0,0,
营业税金及附加(万元),149695,105851,29847,266243,170424,120711,42070,285763,162114,137731,111788,577189,333785,217910,86400,438563,265218,169403,78472,392530,252521,150734,59582,298507,198808,116181,46165,282370,182696,126153,50596,244033,151701,96417,43045,215936,165709,138149,
销售费用(万元),58026,36218,17265,96265,55595,36629,17213,95517,60110,37209,20600,84952,56771,38631,13697,46272,35105,21681,9859,32795,18846,10983,4780,19531,11895,6674,3589,16138,8803,5421,2508,16092,10759,7707,3525,15100,8848,7531,
管理费用(万元),702597,719448,309857,1659984,1011142,639915,270472,1417267,881570,555866,232047,1203027,703947,442620,158493,712904,471621,289738,115670,632918,430708,270245,107880,612684,397914,250935,106097,553527,339410,213593,100628,415947,289764,171684,100394,356593,280431,255040,
财务费用(万元),394996,322275,260202,674948,476784,285646,141114,299721,246351,153651,107168,431570,319493,239359,85455,368415,227638,134241,47480,352785,242129,164852,75447,265585,200146,125642,52336,251263,151465,88194,36916,185909,99865,54945,21203,121168,106131,54446,
资产减值损失(万元),103140,66615,9341,123599,54440,50492,468,99702,26044,29105,1074,111787,16639,10059,207,130267,76837,72356,3807,78059,31370,13975,4138,44283,27857,15096,3889,57601,24799,24476,-1490,13242,-15071,8021,-1275,36304,29884,8277,
公允价值变动收益(万元),-274,342,623,500,21,30,-1,-145,-136,-240,-186,42,-176,122,234,-274,-443,-483,-513,383,679,223,43,-727,-1007,-916,-657,12,-140,-680,-436,516,-224,-224,--,--,0,0,
投资收益(万元),52768,16178,6640,73697,36753,20482,12212,28192,23291,6202,2247,22666,10123,6817,2345,11673,5093,2348,1116,24668,3085,3066,4070,14872,14072,13138,1269,18950,13232,10388,5175,10540,3566,1203,1183,1114,-7535,10931,
对联营企业和合营企业的投资收益(万元),35245,12932,5338,46399,31533,19278,9591,19678,16453,2703,1500,7233,4923,4144,2304,4970,4645,1962,996,3890,2691,2919,3977,8337,7249,5782,1026,18572,10729,9301,4555,6465,-1737,1200,--,386,-11583,6558,
汇兑收益(万元),247,82,-110,3601,16617,8995,2101,-3926,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业利润(万元),901940,623687,274590,1078631,786486,511251,226410,952379,719983,491851,203407,743871,667482,448091,124312,658438,430631,286328,116804,632177,432108,301407,97497,531415,373213,257514,88679,493822,346177,240006,76989,402061,267049,162049,56578,324241,173119,218769,
营业外收入(万元),36406,19862,3792,39115,21755,19199,10432,38378,19236,12473,6538,50954,18271,12103,5391,26911,14211,4922,2256,12959,7643,4209,1728,29107,10943,7262,1743,15217,11620,8475,1995,15677,9049,6726,1967,16109,16627,11050,
营业外支出(万元),19491,13464,1744,26685,7004,4102,765,13245,7408,3870,1267,16184,9972,4868,1073,10504,6014,4047,1677,7949,3545,2165,696,8936,6850,5198,3021,10387,8807,6856,4839,14369,7093,3993,529,16776,20243,18040,
非流动资产处置损失(万元),--,606,--,--,2069,1326,269,5929,3916,1857,505,8132,6415,2672,614,6348,3331,2674,1470,3923,1589,1003,312,3456,3014,2197,219,5485,5114,5148,4226,820,1250,820,109,9042,7392,13564,
利润总额(万元),918854,630086,276638,1091060,801236,526348,236077,977513,731810,500454,208678,778642,675782,455325,128630,674844,438829,287203,117383,637187,436207,303451,98530,551587,377306,259578,87400,498652,348990,241624,74145,403369,269005,164781,58016,323575,169502,211779,
所得税费用(万元),199999,138275,48772,285543,188946,124917,43250,218897,146320,106962,37579,198302,134190,103240,23148,147145,80017,60825,21365,117149,76202,60168,16828,115469,69879,51078,13195,104544,56954,41939,4406,80781,29995,27929,4124,70287,28218,18295,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
净利润(万元),718856,491811,227866,805517,612291,401431,192827,758616,585490,393492,171099,580340,541592,352086,105482,527699,358812,226378,96019,520038,360004,243283,81702,436117,307427,208499,74205,394107,292036,199685,69739,322588,239010,136852,53891,253288,141284,193484,
归属于母公司所有者的净利润(万元),605093,405730,191797,736662,568949,370548,170594,677181,535566,345635,161700,523648,495849,328045,100314,478633,332562,213571,89942,455600,322589,223039,80783,409425,288114,201443,72108,361908,257468,182033,67298,291107,212610,129430,52841,228973,126643,181891,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
少数股东损益(万元),113763,86081,36069,68855,43342,30883,22234,81434,49924,47857,9399,56692,45742,24041,5169,49065,26249,12807,6077,64438,37416,20244,919,26693,19312,7056,2097,32199,34568,17653,2440,31481,26399,7422,1050,24315,14640,11593,
基本每股收益,0.38,0.27,0.13,0.48,0.37,0.26,0.12,0.47,0.37,0.25,0.12,0.38,0.36,0.24,0.1,0.5,0.35,0.22,0.09,0.47,0.34,0.23,0.08,0.43,0.3,0.21,0.08,0.49,0.39,0.28,--,0.44,--,0.2,--,0.35,0,0,
稀释每股收益,0.38,0.27,0.13,0.48,0.37,0.26,0.12,0.47,0.37,0.25,0.12,0.38,0.36,0.24,0.1,0.5,0.35,0.22,0.09,0.47,0.34,0.23,0.08,0.43,0.3,0.21,0.08,0.49,0.39,--,--,--,--,--,--,--,0,0,
