报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),30423,59612,58756,55921,42649,
营业收入(万元),30423,59612,58756,55921,42649,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),28127,54393,53695,52740,40343,
营业成本(万元),19066,37600,37162,34737,23778,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),301,657,445,399,326,
销售费用(万元),6008,10998,10035,12113,11742,
管理费用(万元),2556,5307,5721,4866,4322,
财务费用(万元),-29,-56,47,169,203,
资产减值损失(万元),225,-113,285,456,-29,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),174,195,63,40,36,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),2572,5414,5124,3221,2342,
营业外收入(万元),6,209,65,1102,64,
营业外支出(万元),--,64,90,679,17,
非流动资产处置损失(万元),--,9,50,2,1,
利润总额(万元),2578,5559,5100,3644,2389,
所得税费用(万元),330,818,749,466,296,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),2248,4741,4351,3179,2093,
归属于母公司所有者的净利润(万元),2248,4741,4351,3179,2093,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,
基本每股收益,0.37,0.78,0.76,--,--,
稀释每股收益,0.37,0.78,0.76,--,--,
