报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),53308,190247,128334,79096,32276,151280,106421,73429,30801,141085,102188,67032,28841,127081,92514,64425,27550,117397,106174,84778,
营业收入(万元),53308,190247,128334,79096,32276,151280,106421,73429,30801,141085,102188,67032,28841,127081,92514,64425,27550,117397,106174,84778,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),48711,176467,118976,71484,29240,137156,97315,66118,27687,126725,92863,60859,26052,115218,84647,59523,26630,106484,94447,74529,
营业成本(万元),39788,145285,98820,59594,23841,114670,81901,56228,23830,110558,80158,52468,22479,102577,75592,53162,23762,94946,84715,67483,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),202,1267,807,580,159,431,301,203,97,548,427,265,105,513,361,278,119,673,647,506,
销售费用(万元),710,3901,2513,1539,649,3301,1860,1168,432,2671,1928,1132,512,2662,1788,1216,511,2622,2742,1844,
管理费用(万元),5441,18238,12842,7596,3315,12993,9224,5998,2581,8745,6820,4267,1766,5402,4011,2722,1506,4924,4751,3757,
财务费用(万元),2533,6891,3959,2172,1175,3674,2524,1546,560,2863,2205,1732,892,3593,2540,1671,769,2457,1340,1042,
资产减值损失(万元),38,884,35,2,101,2087,1506,976,187,1339,1326,994,299,471,356,474,-36,863,252,-102,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,6652,6652,6652,248,--,--,--,--,--,--,--,--,7,7,7,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5037,21067,16069,14323,3284,14124,9105,7310,3115,14361,9325,6173,2789,11870,7875,4909,921,10913,11727,10249,
营业外收入(万元),8,604,512,105,26,383,217,80,--,227,142,118,8,150,134,13,7,1291,362,69,
营业外支出(万元),2,169,138,111,5,158,70,63,11,216,54,23,20,61,42,29,11,60,24,46,
非流动资产处置损失(万元),--,--,16,16,--,15,13,9,--,149,13,9,6,--,--,--,--,--,--,--,
利润总额(万元),5043,21502,16443,14317,3305,14349,9252,7327,3104,14372,9414,6268,2777,11959,7967,4893,917,12144,12064,10272,
所得税费用(万元),756,2528,2015,1233,644,2297,1429,1099,472,2047,1277,800,373,1837,1217,745,138,1910,1816,1549,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4287,18974,14428,13083,2661,12052,7824,6228,2632,12325,8137,5468,2404,10122,6750,4148,780,10234,10248,8723,
归属于母公司所有者的净利润(万元),3439,18033,13464,12722,2589,11791,7673,6141,2573,12176,8078,5434,2382,10106,6709,4122,784,10255,10248,8723,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,177,--,--,--,-33,--,0,-0,
少数股东损益(万元),848,941,964,361,73,260,151,86,59,148,59,34,22,16,41,26,-4,-21,--,--,
基本每股收益,0.08,0.42,0.31,0.59,0.12,0.55,0.36,0.28,0.18,0.88,0.59,0.4,0.29,1.4,0.93,0.57,0.11,1.42,1.42,1.21,
稀释每股收益,0.08,0.42,0.31,0.59,0.12,0.55,0.36,0.28,0.18,0.88,0.59,0.4,0.29,1.4,0.93,0.57,0.11,1.42,1.42,1.21,
