报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),40681,185178,136907,87747,39562,146951,109591,68686,30188,119016,83194,54614,24907,83389,55000,33839,14955,64781,47271,31675,15467,53006,37817,24216,10462,45419,44964,35626,19053,
营业收入(万元),40681,185178,136907,87747,39562,146951,109591,68686,30188,119016,83194,54614,24907,83389,55000,33839,14955,64781,47271,31675,15467,53006,37817,24216,10462,45419,44964,35626,19053,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),37760,162429,115260,73310,33042,122044,90513,55983,25289,96720,66896,43477,20452,68472,44209,26964,11662,53095,38084,25531,12549,42535,30047,19416,8462,37432,38557,30746,17290,
营业成本(万元),29342,127101,92393,58658,25905,94673,72271,44936,19875,76938,54006,35391,16388,54507,35855,21450,9684,43879,32101,21482,10489,35483,25193,16213,7092,31384,33253,26742,15040,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2512,9628,6604,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),361,937,697,392,149,744,589,364,180,732,374,250,118,503,364,256,108,598,164,127,70,238,173,124,54,253,162,8,4,
销售费用(万元),2799,8249,6962,4454,1978,6392,4964,3251,1596,4973,3579,2209,1073,3115,1708,994,421,1860,1305,798,400,1537,989,638,362,1279,1025,778,571,
管理费用(万元),2218,12241,7936,9087,4436,17204,11161,6632,3504,13968,9325,5768,2787,9777,6372,4013,1526,6226,4364,2933,1450,4938,3432,2295,951,4227,3766,2977,1383,
财务费用(万元),475,202,-29,345,576,1554,1112,541,157,-670,-445,-227,76,-518,-356,-199,-145,-172,-160,-105,-27,62,50,36,11,3,235,221,85,
资产减值损失(万元),53,4071,697,373,-1,1477,416,260,-23,778,58,86,9,1088,266,451,69,704,309,295,167,276,210,109,-8,287,116,20,207,
公允价值变动收益(万元),--,114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,
投资收益(万元),800,-1963,4614,3673,1027,4831,4011,2651,975,234,47,29,-93,752,556,490,223,255,221,145,--,--,--,--,--,--,--,-4,3,
对联营企业和合营企业的投资收益(万元),--,171,--,--,--,95,--,--,--,76,--,--,--,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3871,21826,27014,18752,7726,30250,24004,15892,5874,22531,16345,11166,4362,15669,11346,7364,3516,11942,9408,6289,2918,10471,7770,4800,2000,7987,6408,4875,1769,
营业外收入(万元),179,141,176,42,39,958,232,195,557,1421,693,459,417,979,563,410,323,1428,1106,608,444,1697,1006,610,430,910,703,574,118,
营业外支出(万元),116,288,130,79,32,170,200,85,15,245,137,110,42,241,101,100,39,169,116,65,27,96,66,47,17,157,64,34,27,
非流动资产处置损失(万元),--,--,--,--,--,--,66,27,--,20,--,20,20,63,--,13,13,2,--,--,3,15,--,--,--,--,--,0,--,
利润总额(万元),3934,21679,27060,18715,7733,31037,24037,16002,6416,23706,16902,11516,4738,16407,11808,7674,3800,13201,10399,6832,3336,12072,8711,5363,2412,8740,7046,5415,1859,
所得税费用(万元),564,2833,3338,2878,1194,4295,3571,2420,932,3478,2210,1698,757,2556,1722,1127,592,1963,1590,1047,504,1804,1281,770,333,1301,960,811,478,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3370,18847,23722,15837,6539,26742,20466,13582,5484,20228,14692,9818,3981,13851,10086,6547,3208,11238,8809,5785,2832,10268,7429,4593,2079,7439,6086,4604,1381,
归属于母公司所有者的净利润(万元),3506,18738,23470,15587,6374,26656,20440,13534,5462,20182,14667,9793,3959,13780,10021,6490,3170,11223,8793,5776,2828,9969,7221,4459,2024,7197,5919,4529,1392,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-137,108,252,250,165,86,26,48,22,46,25,25,21,70,66,57,38,15,15,9,4,299,209,134,55,242,166,75,-12,
基本每股收益,0.07,0.4,0.5,0.33,0.13,0.57,0.43,0.29,0.12,0.47,0.35,0.24,0.09,0.33,0.61,0.39,0.19,0.69,0.54,0.36,0.36,1.44,1.05,0.65,0.29,1.04,0.9,0.73,0.26,
稀释每股收益,0.07,0.4,0.5,0.33,0.13,0.57,0.43,0.29,0.12,0.47,0.35,0.24,0.09,0.33,0.61,0.39,0.19,0.69,0.54,0.36,0.36,1.44,1.05,0.65,0.29,1.04,0.9,0.73,0.26,
