报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
营业总收入(万元),1216613,811172,482016,202221,632338,427958,254328,114831,354237,247974,161056,76619,285247,210271,138754,59004,271647,204548,136127,60482,244208,182182,119013,54674,211489,154790,97930,42401,191842,142714,92350,40335,152098,105461,65492,29132,88593,61011,35402,14772,63752,47787,30053,13392,46378,31833,19620,9296,25406,17718,
营业收入(万元),1216613,811172,482016,202221,632338,427958,254328,114831,354237,247974,161056,76619,285247,210271,138754,59004,271647,204548,136127,60482,244208,182182,119013,54674,211489,154790,97930,42401,191842,142714,92350,40335,152098,105461,65492,29132,88593,61011,35402,14772,63752,47787,30053,13392,46378,31833,19620,9296,25406,17718,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
营业总成本(万元),1184601,786319,467016,195083,609174,412124,243195,109864,341843,238997,154976,74185,270104,198352,130155,56402,255266,192965,127891,58220,232476,173901,113247,53039,203742,148388,94098,40982,183314,136383,88651,38944,144353,100335,62236,27915,81796,56200,32842,13754,57943,43303,27042,12190,42262,29086,17933,8646,23131,16337,
营业成本(万元),1064032,713455,425735,178463,545045,366861,215229,97028,294086,204856,132791,63133,228991,168118,109929,46857,215537,162561,108366,48630,195332,146559,96429,44681,173825,126809,80618,35032,160266,119451,78093,34324,126398,86855,53529,23740,70722,48592,28513,11978,51753,38392,24067,10788,37490,25572,15747,7567,20261,14396,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
研发费用(万元),11720,8513,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,--,0,0,0,
营业税金及附加(万元),6259,3856,2249,990,3371,2325,1556,736,2449,1070,780,347,1478,1066,672,--,1497,1156,742,289,1243,915,575,232,949,688,431,167,734,504,295,116,231,121,59,18,81,60,35,15,57,41,26,12,28,17,11,7,11,9,
