报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),18936,86769,60775,39631,15463,75869,51229,33538,14167,56733,36476,22648,9674,48647,33634,21256,9296,46440,33177,41363,35806,23119,17565,
营业收入(万元),18936,86769,60775,39631,15463,75869,51229,33538,14167,56733,36476,22648,9674,48647,33634,21256,9296,46440,33177,41363,35806,23119,17565,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),14436,66577,44482,28760,11802,60753,39729,25804,11500,45542,29317,18338,8133,39250,26461,16881,7727,37255,26557,33136,27892,18805,15728,
营业成本(万元),6304,30990,21511,14426,5193,28371,18886,12716,5576,23373,15901,10174,4149,21474,14972,9538,4257,20492,14911,18348,16754,11576,10078,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),408,1330,1008,655,282,1097,619,411,259,736,453,307,128,534,363,199,82,503,372,451,287,141,109,
销售费用(万元),2369,15100,8580,5320,2429,13842,7865,4754,1921,10276,6328,3738,1625,8244,5637,3660,1640,8000,5775,7280,6159,3853,2526,
管理费用(万元),4675,17689,12623,7959,3744,17002,11951,7723,3634,11904,7561,4466,2546,9126,5705,3560,1697,7335,5257,6146,4195,2939,2815,
财务费用(万元),755,1092,802,450,234,334,372,216,147,-1395,-1134,-561,-315,-536,-191,-116,-60,132,105,216,278,161,110,
资产减值损失(万元),-75,377,-42,-50,-81,108,37,-16,-38,647,209,215,--,408,-25,39,112,793,137,694,219,135,90,
公允价值变动收益(万元),0,-4,-2,-2,--,-3,--,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),289,1278,1204,1151,223,278,191,124,73,198,135,93,54,64,36,18,6,--,--,--,--,1763,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5164,22946,17982,12248,3884,15392,11690,7857,2739,11394,7294,4404,1595,9461,7210,4393,1574,9185,6620,8228,7914,6077,1837,
营业外收入(万元),5,1401,1319,574,388,2882,1590,1169,459,2970,1550,942,419,2112,924,662,247,1514,1112,1401,940,751,374,
营业外支出(万元),7,72,37,17,1,163,148,40,12,676,84,9,0,102,78,14,0,107,91,59,41,50,78,
非流动资产处置损失(万元),--,--,4,2,--,74,74,30,--,31,--,9,--,31,--,9,0,0,--,4,2,1,2,
