报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),321869,238663,153586,74304,308906,226275,144022,70886,282505,207495,133349,38470,154550,113535,72439,35747,145505,106801,68872,32322,132751,98308,62998,30969,110572,82811,54425,26838,107804,78517,51304,24895,100222,75179,50106,24846,93688,69403,47182,23410,93728,72790,49294,24871,111318,83676,55726,27139,106723,78693,51600,24255,
营业收入(万元),321869,238663,153586,74304,308906,226275,144022,70886,282505,207495,133349,38470,154550,113535,72439,35747,145505,106801,68872,32322,132751,98308,62998,30969,110572,82811,54425,26838,107804,78517,51304,24895,100222,75179,50106,24846,93688,69403,47182,23410,93728,72790,49294,24871,111318,83676,55726,27139,106723,78693,51600,24255,
利息收入(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
已赚保费(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
营业总成本(万元),169138,110313,72891,34937,170043,114426,75228,38117,185213,129106,86225,30723,143080,99581,63985,31846,146249,100128,67478,32715,158511,112715,72265,35332,118306,79549,52995,26211,104865,69225,43636,20519,83615,59757,38928,17171,75844,48382,30433,13294,63244,44764,30261,15963,58020,39957,27032,12233,66549,42790,30054,12145,
营业成本(万元),127910,81723,53374,25318,124712,81496,53369,27105,128103,86423,55895,19172,86799,58592,36070,17291,84855,55503,36961,16953,92330,64918,40344,19485,64911,41578,27607,13455,62938,40657,25173,11806,51832,37547,24161,9644,47859,28182,16766,6180,38291,26055,18153,9711,33764,23635,15909,7022,37542,25715,18403,6521,
利息支出(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
研发费用(万元),132,303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
退保金(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,
赔付支出净额(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,
提取保险合同准备金净额(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,
保单红利支出(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,
分保费用(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
营业税金及附加(万元),1599,1074,685,313,1600,1028,690,344,4058,3498,3228,1321,5444,4015,2595,1268,5288,3908,2528,1186,4941,3624,2296,1088,4087,3061,2013,981,3965,2867,1885,879,3537,2647,1766,865,3143,2295,1553,755,3066,2326,1603,813,3648,2728,1845,897,3537,2567,1699,789,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,
管理费用(万元),18339,10527,7559,3590,18959,11831,7769,3826,18979,11927,8058,3006,16621,10072,6913,3704,16781,10961,7648,3862,18285,11997,8131,4051,18882,12121,7763,3808,14869,9479,6095,3157,12053,7228,4710,2550,11119,7446,4790,2656,10094,7086,4582,2298,9610,5975,4259,1889,8414,5983,4263,1953,
财务费用(万元),21259,16874,11278,5716,24731,20051,13380,6842,34085,27276,19062,7223,34200,26895,18399,9583,40197,30422,20541,10715,42940,32176,21495,10709,30438,22789,15626,7968,23191,16223,10484,4677,16193,12335,8291,4112,13281,10020,6886,3703,11825,9368,5995,3141,10182,7619,5020,2425,11404,8524,5689,2882,
资产减值损失(万元),-101,-187,-6,--,42,20,20,--,-12,-18,-18,--,16,7,7,--,-872,-665,-200,--,15,--,0,--,-12,-14,-14,--,-99,-1,-1,--,-1,--,--,0,442,439,439,--,-32,-72,-72,--,815,0,0,0,5652,0,0,0,
公允价值变动收益(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
投资收益(万元),50766,39366,25936,10301,44827,33734,22343,9747,44154,33659,22743,10435,50539,37324,23167,8953,41996,33242,22169,12526,47560,26665,17104,7505,33897,27651,19598,8104,34615,25820,17047,7163,34152,28398,19001,9564,26293,20428,13276,5784,25473,21914,15854,8297,26024,20183,13507,6204,18727,14626,8904,4713,
对联营企业和合营企业的投资收益(万元),46387,35108,21678,10301,42394,31328,19938,9647,39566,29089,18173,10335,43554,32762,18706,8910,37485,28777,17916,8417,32208,24920,15712,7505,30705,24459,16406,8104,32345,23549,14777,7163,34050,28296,19001,9564,25581,19716,12564,5784,25473,21914,15854,8297,26024,20183,13507,6204,18651,14550,8828,4713,
汇兑收益(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
