报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),53789,35048,56910,38848,23226,35074,18804,15466,
营业收入(万元),53789,35048,56910,38848,23226,35074,18804,15466,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),35366,22199,33831,23276,14322,25431,14881,13109,
营业成本(万元),29422,18634,28779,19690,12361,20447,12911,11326,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),302,271,634,420,260,162,106,113,
销售费用(万元),722,438,746,455,302,522,272,279,
管理费用(万元),4319,2461,3763,2610,1571,4586,1748,1559,
财务费用(万元),387,270,-382,-162,-258,-241,-233,-160,
资产减值损失(万元),214,125,291,263,86,-44,77,-7,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,25,2,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),18423,12849,23079,15572,8904,9667,3925,2356,
营业外收入(万元),494,115,836,560,484,160,79,337,
营业外支出(万元),8,0,15,15,15,72,2,2,
非流动资产处置损失(万元),3,0,--,--,--,--,--,--,
利润总额(万元),18909,12963,23900,16117,9372,9755,4002,2692,
所得税费用(万元),2755,1920,3538,2421,1397,1705,574,390,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),16153,11043,20362,13696,7976,8050,3427,2302,
归属于母公司所有者的净利润(万元),16153,11043,20362,13696,7976,8050,3427,2302,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,0.44,0.31,0.57,0.38,0.22,0.22,--,--,
稀释每股收益,0.44,0.31,0.57,0.38,0.22,0.22,--,--,
