报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),98318,60347,26732,140064,91479,56224,27012,143179,91189,58116,29180,160476,106645,72537,38511,158406,100182,61963,29715,102791,65686,41259,18698,70802,45618,29163,49726,21117,33166,19032,14223,
营业收入(万元),98318,60347,26732,140064,91479,56224,27012,143179,91189,58116,29180,160476,106645,72537,38511,158406,100182,61963,29715,102791,65686,41259,18698,70802,45618,29163,49726,21117,33166,19032,14223,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),94670,63621,33463,139021,93449,61909,33987,144289,90872,61353,32133,134434,91224,64559,33967,121947,76424,48877,24815,73485,48756,31154,15486,49617,32252,22351,37547,18108,25258,16053,12264,
营业成本(万元),58739,39811,20115,91362,59466,37317,19840,82311,52687,34640,17381,77406,48484,35711,18627,68219,41290,25663,13555,44098,30573,19496,9517,26766,17433,11845,19491,9285,13934,9652,8105,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1978,852,323,2291,930,607,238,1991,803,547,240,1539,941,667,382,1903,1251,852,430,1735,1506,973,441,3226,2038,1618,2922,1249,1999,1237,924,
销售费用(万元),19745,14029,8540,25829,18552,13372,8306,30969,22113,15258,8409,30980,24349,15666,8398,28764,19831,12989,6912,18843,12690,8448,4590,14985,9378,6141,9443,5107,6352,4161,2653,
管理费用(万元),12681,8709,4604,18958,14420,10251,5652,20787,15340,10937,6133,23987,17423,12313,6426,20268,13541,9080,3958,12178,7024,4624,2347,8770,6127,4020,6966,2959,3086,1032,596,
财务费用(万元),-255,-183,-118,-87,-113,-119,-48,-382,-216,-166,-72,-293,-160,26,136,293,126,-71,-88,-3899,-3336,-2422,-1410,-4326,-2750,-1296,-1313,-534,-120,-31,-15,
资产减值损失(万元),419,403,-0,669,193,481,--,8614,145,135,42,815,186,176,-3,2501,385,364,48,529,298,35,--,195,27,23,39,41,8,1,-0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),4726,1430,597,8896,3882,2760,994,21163,18183,16681,16627,14448,10960,6147,2374,9370,7816,3056,1678,927,54,54,--,--,--,--,17,17,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,226,--,--,--,204,--,--,--,384,-15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,75,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9461,-845,-6040,11473,2506,-2585,-5981,20053,18500,13444,13673,40490,26457,14201,6918,45829,31574,16142,6577,30232,16985,10159,3212,21186,13366,6812,12196,3026,7908,2979,1959,
营业外收入(万元),104,77,56,121,255,109,243,3337,512,206,128,1300,688,337,231,3480,835,732,93,511,438,385,16,1328,411,223,2001,0,5,--,--,
营业外支出(万元),89,78,28,94,74,69,11,58,44,19,11,355,100,77,24,88,160,10,5,241,164,20,8,70,48,33,45,0,28,37,14,
非流动资产处置损失(万元),--,--,--,--,14,14,--,15,14,2,--,11,9,1,--,3,--,--,--,44,--,--,--,1,0,0,--,--,0,--,--,
利润总额(万元),9476,-845,-6011,11501,2687,-2545,-5749,23332,18968,13632,13790,41435,27045,14460,7125,49221,32248,16864,6665,30503,17259,10524,3221,22444,13729,7002,14153,3026,7885,2942,1945,
所得税费用(万元),635,579,45,734,224,273,137,2993,2798,2371,2254,2207,2549,2001,817,4660,7510,4197,1477,1422,-5,199,4,661,490,243,277,-24,-91,788,497,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),8841,-1425,-6057,10767,2463,-2818,-5886,20339,16170,11261,11536,39228,24496,12459,6308,44562,24738,12667,5187,29081,17264,10325,3218,21783,13239,6759,13875,3050,7976,2154,1447,
归属于母公司所有者的净利润(万元),6776,-2324,-5787,8941,1612,-2861,-4518,10600,7512,3157,3877,27428,14764,5828,1775,33022,17963,9621,4505,27287,16921,10048,3438,21031,12833,6491,13948,3225,8165,2265,1447,
