报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31,
公允价值变动收益(万元),-692000,-572700,-333600,25400,-84000,162800,97100,-10000,416800,460700,316600,202800,279600,208300,-11400,-129500,68000,41700,120200,106600,-15100,-80100,-26300,69200,-37100,-56700,-25500,-500,-21100,-77800,-20800,-8300,10800,17800,-4800,18300,-10100,-9500,38000,9200,-7100,-4000,-21300,-6200,-12800,-26200,10800,7400,-1200,18200,-19200,--,0,0,0,
投资收益(万元),1882100,1265500,989800,267800,1192700,606000,378700,189900,1002000,656500,411400,199800,1040900,757000,608000,366600,492000,306700,182700,43100,307800,377500,281600,121100,470700,384200,279900,172800,833700,577000,336500,121800,327500,224500,148100,69600,990400,842600,452300,98600,334800,196800,142700,111100,204000,131000,85000,45500,137600,132000,43600,38700,32500,23900,63200,
对联营企业和合营企业的投资收益(万元),308900,204200,133000,71700,295000,203300,137200,67100,260400,195600,112100,50800,233000,176800,139100,87100,215700,152400,101600,49800,209700,152300,105500,57600,265200,178700,115200,61400,244400,185200,132100,59300,214600,187700,125000,60100,198700,138700,96600,40500,197800,135200,96300,21400,1600,900,700,200,1300,800,500,--,0,0,0,
汇兑收益(万元),-881000,-697900,-318900,139200,-37900,-46000,-14500,109500,320400,251500,224200,116300,189400,163900,140400,76500,367300,275400,327000,254800,659300,452200,456900,166600,409500,317300,362400,150800,140000,58700,84900,130000,73500,44500,11900,-16900,-124600,-102700,-36600,39200,-85100,-177600,-283200,-381800,-688100,-295300,-172000,-70700,-132900,-69900,21800,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
营业利润(万元),37118700,29435500,19518200,10028600,36184200,29078900,19536200,9840300,36031500,28853000,19410700,9752200,35953500,28887400,19334900,9638900,35961200,28750500,19350600,9536000,33704600,26403700,17839300,8823500,30745800,23905000,15965800,7960100,27100000,21124400,14150300,6958200,21448700,16577300,11028400,5391700,16599400,12808700,8506600,4547800,14353100,11950500,8355200,4330900,11318500,9068200,5757700,2778300,7091200,5511600,3845800,9166600,4566900,8400500,6987200,
营业外收入(万元),252900,310100,237900,152500,380500,244000,140700,50200,360100,171400,115700,48800,439200,207700,161100,78900,306200,148100,102900,50700,291000,129500,88600,29800,276700,135100,86900,31900,245100,158300,114000,56000,235700,108600,63700,30400,221300,108700,76900,25400,283400,151000,117900,51300,326000,142200,131600,35500,224400,154500,105100,--,141000,0,20700,
营业外支出(万元),130300,93300,34500,16500,100600,47000,27100,10900,63700,37800,18900,8800,69200,43000,28200,15900,106200,75500,44500,21000,141900,68300,43800,19500,153800,56100,31500,9200,114000,46800,29800,14400,141800,53500,30500,10600,95900,30100,15800,10800,106400,43100,32000,14200,133100,66500,48200,18500,153500,92700,87400,177600,0,0,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
利润总额(万元),37241300,29652300,19721600,10164600,36464100,29275900,19649800,9879600,36327900,28986600,19507500,9792200,36323500,29052100,19467800,9701900,36161200,28823100,19409000,9565700,33853700,26464900,17884100,8833800,30868700,23984000,16021200,7982800,27231100,21235900,14234500,6999800,21542600,16632400,11061600,5411500,16724800,12887300,8567700,4562400,14530100,12058400,8441100,4368000,11511400,9143900,5841100,2795300,7162100,5573400,3863500,6287600,3535600,5431100,3378600,
所得税费用(万元),7369000,5640300,3655900,2257700,7719000,6367300,4281100,2276900,8417300,6639800,4441900,2301800,8551500,6823000,4525200,2256200,8532600,6737600,4570900,2219600,7557200,5887800,4036400,1952500,6999600,5412900,3697100,1845600,6386600,4838100,3277000,1616200,4940100,3852900,2565100,1239000,3789800,2844000,1906400,1033500,3415000,2750700,1953200,1039800,3312400,2755700,1721300,906100,2218500,1736300,1319900,2500700,995700,2319300,1129200,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
净利润(万元),29872300,24012000,16065700,7906900,28745100,22908600,15368700,7602700,27910600,22346800,15065600,7490400,27772000,22229100,14942600,7445700,27628600,22085500,14838100,7346100,26296500,20577100,13847700,6881300,23869100,18571100,12324100,6137200,20844500,16397800,10957500,5383600,16602500,12779500,8496500,4172500,12935000,10043300,6661300,3528900,11115100,9307700,6487900,3328200,8199000,6388200,4119800,1889200,4943600,3837100,2543600,3786900,2539900,3111800,2249400,
归属于母公司所有者的净利润(万元),29767600,23962700,16044200,7880200,28604900,22799900,15299500,7578600,27824900,22279200,15021700,7476400,27713100,22176100,14902100,7432400,27581100,22046400,14810000,7330200,26264900,20553300,13834700,6874300,23853200,18560200,12316000,6133500,20826500,16384000,10948100,5378700,16515600,12721600,8460300,4154700,12859900,9990800,6631300,3515300,11076600,9273000,6453100,3311300,8125600,6330700,4084400,1870600,4881900,3797000,2519300,3740500,2511200,3076300,2237400,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,--,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
少数股东损益(万元),104700,49300,21500,26700,140200,108700,69200,24100,85700,67600,43900,14000,58900,53000,40500,13300,47500,39100,28100,15900,31600,23800,13000,7000,15900,10900,8100,3700,18000,13800,9400,4900,86900,57900,36200,17800,75100,52500,30000,13600,38500,34700,34800,16900,73400,57500,35400,18600,61700,40100,24300,46400,28700,35500,12000,
基本每股收益,0.82,0.67,0.45,0.22,0.79,0.64,0.43,0.21,0.77,0.63,0.42,0.21,0.77,0.62,0.42,0.21,0.78,0.63,0.42,0.21,0.75,0.59,0.4,0.2,0.68,0.53,0.35,0.18,0.6,0.47,0.31,0.15,0.48,0.38,0.25,0.12,0.39,0.3,0.2,0.11,0.33,0.28,0.19,0.1,0.24,0.19,0.12,0.06,0.17,0.14,0.1,--,0,0,0,
稀释每股收益,0.82,0.67,0.45,0.22,0.79,0.64,0.43,0.21,0.77,0.63,0.42,0.21,0.77,0.62,0.42,0.21,0.78,0.62,0.42,0.21,0.74,0.58,0.39,0.19,0.67,0.52,0.35,0.17,0.59,0.46,0.31,0.15,0.48,0.38,0.25,0.12,0.39,0.3,0.2,0.11,0.33,0.28,0.19,0.1,0.24,0.19,0.12,0.06,0.17,0.14,0.1,--,0,0,0,
