报告日期,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),111273,78393,48382,58191,45118,30784,46873,41612,49982,
营业收入(万元),111273,78393,48382,58191,45118,30784,46873,41612,49982,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),76706,52701,34062,43816,34851,22520,39488,37616,42966,
营业成本(万元),59668,42213,27257,33701,26063,17584,34009,32623,36789,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),382,240,155,542,264,263,369,293,156,
销售费用(万元),4697,2309,741,996,706,473,502,297,207,
管理费用(万元),12297,8054,5581,8483,7921,4167,5001,3848,5086,
财务费用(万元),-434,-125,208,41,-112,-58,-367,411,719,
资产减值损失(万元),96,10,119,53,10,92,-25,144,8,
公允价值变动收益(万元),--,--,--,202,202,202,-365,164,--,
投资收益(万元),677,613,221,1530,870,867,2840,1767,958,
对联营企业和合营企业的投资收益(万元),53,45,39,-41,-127,-113,-90,-15,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),35244,26305,14541,16108,11339,9333,9859,5928,7974,
营业外收入(万元),406,190,120,11270,11085,10878,294,268,164,
营业外支出(万元),30,21,9,17,5,0,1,95,1,
非流动资产处置损失(万元),--,21,9,17,5,--,--,95,--,
利润总额(万元),35620,26474,14653,27361,22418,20211,10152,6101,8137,
所得税费用(万元),4198,4108,2326,1637,1929,1495,1397,1055,1106,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),31422,22366,12327,25724,20489,18716,8755,5046,7031,
归属于母公司所有者的净利润(万元),31422,22366,12327,25724,20489,18716,8755,5049,7032,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,-3,-0,
基本每股收益,0.81,0.6,0.34,0.71,0.57,0.52,0.24,0.14,0.2,
稀释每股收益,0.81,0.6,0.34,0.71,0.57,0.52,0.24,0.14,0.2,
