报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),118348,92469,61080,30058,363964,126454,86544,15505,60934,45224,40668,34402,36534,34077,29854,12819,59739,45384,37992,18350,111683,64893,32148,16822,94534,46096,33082,15397,88740,56361,37372,16620,140674,89433,52348,22530,100693,71643,44490,21658,130736,101616,66158,29051,150577,89406,63714,28634,115480,88467,55257,24114,
营业收入(万元),11468,8541,4910,2576,222565,24632,20059,15505,60934,45224,40668,34402,36534,34077,29854,12819,59739,45384,37992,18350,111683,64893,32148,16822,94534,46096,33082,15397,88740,56361,37372,16620,140674,89433,52348,22530,100693,71643,44490,21658,130736,101616,66158,29051,150577,89406,63714,28634,115480,88467,55257,24114,
利息收入(万元),44934,36930,25845,12907,49583,37191,25051,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),61946,46998,30325,14575,91816,64631,41433,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),142152,99063,64453,32327,274917,119356,83015,15340,49724,34786,26935,20185,31740,19744,14262,7083,43322,33046,27477,13961,78146,46951,27089,13533,75957,40597,27427,13118,76123,46556,30569,13907,129660,87790,52214,22270,98643,74466,46722,22337,131803,101852,66264,29782,153902,92396,65863,28590,112959,85402,53217,24160,
营业成本(万元),7131,5305,3165,1655,105882,15024,12625,10080,22205,14033,10671,8065,20700,11357,8396,4114,30537,22616,19149,10667,54647,32571,19757,9669,56262,30791,20318,9564,52098,35761,23319,10243,110292,76938,44981,18541,83756,63472,39980,18827,118545,92222,59996,26335,137945,80824,57540,25563,99734,76634,47224,20160,
利息支出(万元),24320,17737,11108,5595,17838,13730,10376,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,
