报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),115360,360937,272867,180423,97420,315799,229610,149027,74420,275859,202838,132051,65601,264190,193914,133042,67535,231819,166320,111236,51437,175434,128575,80661,39879,173541,123203,84718,46014,127792,92605,57028,27446,95953,70544,45968,20757,96652,69960,47454,24365,104749,77281,55269,34497,86423,58074,38018,19353,
营业收入(万元),115360,360937,272867,180423,97420,315799,229610,149027,74420,275859,202838,132051,65601,264190,193914,133042,67535,231819,166320,111236,51437,175434,128575,80661,39879,173541,123203,84718,46014,127792,92605,57028,27446,95953,70544,45968,20757,96652,69960,47454,24365,104749,77281,55269,34497,86423,58074,38018,19353,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,0,0,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,0,0,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,0,0,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,--,0,--,--,--,
营业总成本(万元),96467,309774,232643,155359,83000,273599,199662,131502,66327,248671,182472,119616,59013,232969,170425,115307,58253,207592,150583,101117,47200,165660,119070,74456,36524,159571,114470,78854,42629,118993,84268,53235,26510,91600,66428,42778,19863,94214,68218,46367,23254,94323,70383,50536,31388,80440,53976,35305,17917,
营业成本(万元),70504,219189,164088,109824,58814,199938,144188,94113,48263,179124,131873,85525,42533,173110,126075,86622,44623,159276,115366,78689,37285,125436,89384,55729,28083,125099,88912,62291,34418,90583,63827,40765,20091,69748,51734,32896,15382,74424,54274,37128,18719,75832,57357,41389,26540,62885,42779,27639,13928,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,--,--,--,0,--,0,0,0,--,--,0,
