报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),57699,38863,77097,52156,33239,67941,54879,35599,
营业收入(万元),57699,38863,77097,52156,33239,67941,54879,35599,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),45550,31152,59564,41248,26493,59735,43247,26616,
营业成本(万元),2626,1808,3559,2410,1421,3300,2711,1875,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),289,196,358,186,126,264,337,304,
销售费用(万元),38875,26820,50857,35434,23070,44388,36235,21886,
管理费用(万元),3272,2046,4838,2977,1689,4576,3002,2056,
财务费用(万元),-655,-364,-718,-339,-358,-137,-71,-147,
资产减值损失(万元),1144,646,669,579,545,7345,1033,642,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),285,285,656,366,366,1248,1235,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),12434,7996,18189,11273,7112,9454,12868,8983,
营业外收入(万元),148,92,282,150,112,321,102,131,
营业外支出(万元),10,10,62,40,17,48,121,43,
非流动资产处置损失(万元),--,0,1,--,1,1,1,4,
利润总额(万元),12572,8077,18408,11384,7207,9727,12849,9071,
所得税费用(万元),1795,1190,2735,1621,1061,1404,1952,1311,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),10776,6888,15674,9763,6146,8323,10897,7760,
归属于母公司所有者的净利润(万元),10866,6954,15705,9766,6147,8335,10991,7765,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-90,-66,-32,-3,-1,-12,-94,-6,
基本每股收益,1.05,0.9,2.03,1.26,0.79,1.09,1.59,1.21,
稀释每股收益,1.05,0.9,2.03,1.26,0.79,1.09,1.59,1.21,
