报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),41203,30151,10641,46900,32769,23827,8927,35410,22636,14749,4129,28366,17406,28035,24827,21448,
营业收入(万元),41203,30151,10641,46900,32769,23827,8927,35410,22636,14749,4129,28366,17406,28035,24827,21448,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),40206,30071,11459,41472,30876,21919,9347,30571,21141,13506,4747,23409,15505,23552,21198,17935,
营业成本(万元),27053,20344,7186,26629,20163,14916,6016,19575,13174,8320,2379,14964,9739,15345,14021,12884,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),317,219,77,435,98,79,45,183,64,42,7,399,163,274,261,155,
销售费用(万元),3778,2605,1044,4834,3398,2241,1013,3763,2397,1424,681,2680,1723,2507,1982,1590,
管理费用(万元),7680,5434,2739,9227,6447,4190,2049,6436,4528,2976,1464,5008,3366,5066,3974,3074,
财务费用(万元),220,49,48,4,-84,-115,-68,421,269,203,110,192,113,150,175,132,
资产减值损失(万元),1157,1420,365,342,853,609,293,193,708,541,106,166,401,210,784,101,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-6,-3,-2,-0,--,--,--,--,--,--,--,--,--,0,--,--,
对联营企业和合营企业的投资收益(万元),-6,-3,-2,-0,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2062,1053,-820,5428,1894,1907,-420,4839,1495,1244,-618,4957,1901,4483,3629,3514,
营业外收入(万元),414,11,136,1655,1064,453,157,968,552,314,165,524,414,416,321,187,
营业外支出(万元),24,17,13,95,61,61,50,20,11,11,10,19,10,14,16,25,
非流动资产处置损失(万元),8,8,3,9,--,--,--,1,--,1,--,--,--,0,5,--,
利润总额(万元),2452,1047,-697,6987,2897,2300,-313,5787,2036,1546,-463,5462,2305,4884,3934,3675,
所得税费用(万元),-241,-235,-157,1285,607,357,42,697,147,134,15,728,182,732,393,472,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2693,1282,-540,5702,2289,1943,-355,5091,1889,1412,-478,4734,1797,4152,3540,3204,
归属于母公司所有者的净利润(万元),2674,1291,-533,5724,2305,1951,-347,5093,1887,1431,-469,4765,1821,4180,3540,3204,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),18,-9,-7,-22,-16,-8,-7,-3,2,-18,-9,-31,-24,-28,--,--,
基本每股收益,0.22,0.11,-0.04,0.5,0.2,0.32,-0.06,1.02,0.38,0.28,-0.09,0.95,0.36,0.84,0.71,0.65,
稀释每股收益,0.22,0.11,-0.04,0.5,0.2,0.32,-0.06,1.02,0.38,0.28,-0.09,0.95,0.36,0.84,0.71,0.65,
