报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),39881,19190,73285,55466,37877,17667,53086,36522,24686,10208,38658,29889,22185,10375,45705,35412,25256,10254,43823,37200,40080,
营业收入(万元),39881,19190,73285,55466,37877,17667,53086,36522,24686,10208,38658,29889,22185,10375,45705,35412,25256,10254,43823,37200,40080,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),35957,17147,68122,51295,34305,15869,49568,33743,21805,8725,33297,24575,17722,8251,35711,27267,19171,8025,33727,29747,30569,
营业成本(万元),24532,11925,45421,34221,23337,10291,31908,21281,14336,6163,22455,17040,12683,5973,26275,20204,14401,5849,25803,22351,23372,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),336,104,561,321,267,78,388,190,157,84,224,187,161,85,286,210,151,62,233,251,121,
销售费用(万元),1785,920,3927,2532,1599,727,3080,2022,1234,505,1997,1390,909,425,1864,1314,831,396,1630,1331,947,
管理费用(万元),8924,3820,15072,12280,7785,3655,12811,9062,5346,1962,8180,5478,3468,1563,7048,5147,3373,1681,5861,5296,6794,
财务费用(万元),-107,284,947,981,768,774,475,453,212,-257,49,26,179,51,-1,101,134,-20,-86,457,-18,
资产减值损失(万元),488,95,2195,960,549,345,906,734,519,268,393,454,323,154,241,291,281,57,287,61,-647,
公允价值变动收益(万元),--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,11,25,-37,
投资收益(万元),-146,153,1242,454,317,154,528,345,69,33,1037,733,380,-13,-82,-65,-52,-9,-25,8,57,
对联营企业和合营企业的投资收益(万元),117,-2,22,25,15,10,-37,-35,-39,-10,-38,-26,-14,-13,-82,-65,-52,-9,-25,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4878,2499,8258,6044,4780,1953,4046,3125,2950,1516,6398,6047,4842,2111,9911,8079,6033,2220,10082,7486,9531,
营业外收入(万元),62,31,298,46,28,417,1921,868,595,184,1405,908,622,279,1022,784,426,150,717,1064,198,
营业外支出(万元),4,13,629,628,600,20,121,84,48,13,67,34,23,12,52,38,27,11,40,44,64,
非流动资产处置损失(万元),--,--,--,2,2,2,3,3,2,2,2,2,1,0,7,3,3,--,12,5,20,
利润总额(万元),4937,2517,7927,5462,4207,2349,5846,3908,3497,1687,7737,6921,5442,2379,10882,8826,6431,2359,10760,8506,9665,
所得税费用(万元),388,131,816,820,408,108,1157,739,556,254,1034,966,745,330,1497,1281,955,318,1321,956,1762,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4548,2386,7111,4642,3799,2241,4689,3169,2941,1433,6703,5955,4697,2048,9385,7546,5476,2041,9439,7550,7903,
归属于母公司所有者的净利润(万元),4807,2575,8053,5376,4241,2196,5318,3653,3042,1447,6707,5962,4697,2048,9385,7546,5476,2041,9439,7550,7081,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2496,
少数股东损益(万元),-258,-190,-942,-734,-442,45,-628,-484,-101,-14,-4,-7,--,--,--,--,--,--,--,--,822,
基本每股收益,0.12,0.06,0.2,0.13,0.11,0.05,0.13,0.09,0.15,0.07,0.35,0.32,0.26,0.12,0.63,0.5,0.37,0.14,0.63,0.5,0.47,
稀释每股收益,0.12,0.06,0.2,0.13,0.11,0.05,0.13,0.09,0.15,0.07,0.35,0.32,0.26,0.12,0.63,0.5,0.37,0.14,0.63,0.5,0.47,
