报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),44812,211823,141255,84958,37488,165226,106673,63612,25960,128784,84861,53252,23495,92605,61925,38188,16977,77692,54282,33546,14704,61637,42888,26461,11463,50102,34996,22028,9207,35583,24466,14827,6357,26367,19028,12074,20293,14165,12132,6893,
营业收入(万元),44812,211823,141255,84958,37488,165226,106673,63612,25960,128784,84861,53252,23495,92605,61925,38188,16977,77692,54282,33546,14704,61637,42888,26461,11463,50102,34996,22028,9207,35583,24466,14827,6357,26367,19028,12074,20293,14165,12132,6893,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),48021,198122,129706,80381,36178,152310,97290,61149,26682,108908,75788,48090,22533,76698,53001,32683,15545,60699,42401,26908,12516,48873,34085,21372,9905,39522,27684,17239,8111,28389,18282,11412,5339,19839,13959,8842,15961,11175,8146,5004,
营业成本(万元),29338,117827,76016,45698,20103,81608,53486,34090,15839,59308,41592,26772,13039,38811,26253,16244,7965,29262,20647,13080,6432,21684,14336,8706,3990,17105,12282,7959,3842,13205,8746,5462,2460,9409,6587,4315,6473,4341,2795,1251,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
