报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,
营业总收入(万元),7028751,24191890,18776444,12496362,5998862,15984170,11707795,7800752,3859950,13934712,11203385,8287507,4257443,14231097,10958894,7770822,3853326,12126518,9377882,6600663,3159915,10265111,8189915,5793273,2631047,13411615,11040055,8312562,3983141,10384795,8122404,5375957,2178764,6853385,5081478,3399508,1311742,6399209,5138782,3890016,1584596,4792057,2876191,
营业收入(万元),6973753,24071230,18694887,12445007,5975591,15904404,11637842,7752229,3834162,13844123,11137442,8250914,4242671,14166818,10908416,7733085,3835111,12097500,9374673,6593948,3156592,10259811,8173525,5782358,2628020,13404565,11040055,8312562,3983141,10384795,8122404,5375957,2178764,6853385,5081478,3399508,1311742,6399209,5138782,3890016,1584596,4792057,2876191,
利息收入(万元),54996,120658,81557,51355,23270,78941,69176,47958,25507,90016,65624,36383,14668,63252,50321,37686,18215,29016,17385,6784,3360,5443,20750,10570,3058,7165,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),2,1,0,0,0,825,777,565,281,574,320,209,104,1027,157,51,--,2,--,-68,-37,-143,534,345,-31,-115,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
营业总成本(万元),6394370,22473459,17234472,11396362,5528114,14380906,10249801,6681841,3388484,12652313,10058280,7363241,3887882,12971880,9843737,6901828,3461605,11348577,8708323,6126045,2959257,9619852,7640503,5404470,2471250,12749921,10580066,7973413,3890947,9886065,7826670,5131148,2135253,6456688,4802117,3190132,1263701,6167372,4900281,3701998,1527407,4596644,2738210,
营业成本(万元),5186917,18046055,13955949,9305108,4478286,11561544,8382803,5486616,2690619,10266282,8211245,5987891,3104158,10566969,8148148,5734328,2868994,9281806,7191965,5081856,2425543,7944904,6380220,4541028,2078751,10841876,9022967,6874261,3304439,8515852,6734925,4382951,1798322,5305735,3953745,2616776,1040321,5191074,4167528,3166402,1283758,3855284,2370882,
利息支出(万元),15052,25093,21590,16567,9333,43961,38400,26132,13217,56151,44816,31707,9885,40453,24303,19155,6856,20383,14086,--,--,6048,4790,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,
