报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),57785,303182,258381,157187,36293,210275,133246,85606,35204,88435,61165,37592,13435,74976,43114,25748,7896,32209,22706,15322,5909,29414,21908,15810,7171,31240,23149,14861,23933,17520,14670,
营业收入(万元),57785,303182,258381,157187,36293,210275,133246,85606,35204,88435,61165,37592,13435,74976,43114,25748,7896,32209,22706,15322,5909,29414,21908,15810,7171,31240,23149,14861,23933,17520,14670,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),52947,274532,212442,134706,32187,187469,116258,72247,30476,76939,53649,33248,12127,66435,39055,23589,7050,30008,20871,14011,5462,26007,19186,13759,6311,26664,19116,12377,19584,14305,13073,
营业成本(万元),45647,234812,192342,120559,27523,159165,99509,61614,27075,60604,42875,26640,9551,54325,31585,18582,5784,23805,16424,11102,4165,20432,15539,11151,5122,21202,15231,9967,15357,11610,10533,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),144,1309,847,556,170,1026,711,664,464,1627,1012,541,196,1070,645,324,35,235,171,127,49,91,69,51,24,146,115,85,161,113,101,
销售费用(万元),1088,4435,2590,1472,762,4033,2654,1736,899,3396,2536,1579,967,2430,1491,965,417,2049,1383,789,312,1777,1304,984,577,1978,1445,862,1387,946,764,
管理费用(万元),4284,24806,14380,9246,3204,16901,11419,6846,2536,9541,6092,3866,1832,6731,4000,2272,865,3899,2703,1783,939,3747,2299,1486,690,2920,1964,1171,2220,1385,1153,
财务费用(万元),2763,5814,3841,1555,1005,1488,1985,1283,588,394,294,208,105,126,-34,-72,-50,-269,-196,-126,-3,-346,-272,-160,-102,174,216,147,390,216,380,
资产减值损失(万元),-979,3356,-1557,1318,-477,4855,-21,102,-1085,1377,840,414,-525,1755,1366,1519,--,289,386,336,--,306,248,248,--,244,145,145,70,35,143,
公允价值变动收益(万元),--,772,--,--,--,-630,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-20,9778,10365,9233,9150,320,64,54,47,47,33,28,25,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,17,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4867,39585,56576,31904,13257,22497,17051,13412,4775,11543,7550,4372,1332,8573,4059,2159,846,2200,1835,1311,447,3407,2721,2051,860,4576,4034,2485,4349,3231,1614,
营业外收入(万元),55,1411,696,332,223,1470,976,726,128,1026,403,186,27,876,516,349,247,321,186,85,20,1038,617,610,482,836,557,300,217,231,359,
营业外支出(万元),69,132,60,89,50,148,44,45,15,118,47,31,12,114,65,44,15,36,16,11,10,0,0,0,0,21,20,--,32,25,129,
非流动资产处置损失(万元),--,--,1,--,--,65,--,4,--,20,--,--,--,21,5,2,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,
利润总额(万元),4853,40864,57213,32148,13430,23819,17983,14093,4888,12450,7906,4527,1348,9335,4511,2464,1077,2486,2005,1386,457,4445,3338,2660,1341,5391,4571,2785,4534,3437,1844,
所得税费用(万元),1178,4776,9670,6058,3267,5121,2605,1945,818,2101,1519,895,170,1349,817,385,269,325,268,176,69,579,502,399,201,757,689,656,626,519,259,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3675,36088,47543,26090,10164,18697,15378,12149,4069,10350,6386,3631,1178,7986,3694,2079,808,2160,1736,1210,388,3866,2836,2261,1140,4634,3882,2129,3909,2918,1585,
归属于母公司所有者的净利润(万元),3133,36162,44548,25977,10070,18578,15236,12019,4004,10186,6228,3530,1137,6354,3629,2061,808,2160,1736,1210,388,3866,2836,2261,1140,4634,3882,2129,3909,2901,1580,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1589,2422,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
