报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),1031618,673214,337439,1051781,741709,474046,223195,873370,641977,423673,1027819,543978,1154798,1027541,1038369,
营业收入(万元),1031618,673214,337439,1051781,741709,474046,223195,873370,641977,423673,1027819,543978,1154798,1027541,1038369,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),955396,627136,309596,945439,658728,413998,194564,792797,598351,396761,930402,479164,1034825,957130,998918,
营业成本(万元),798390,524275,259843,758959,523339,323959,148863,622672,465791,305090,752629,396434,858351,809976,866724,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),8677,5584,2583,8832,4346,2694,1515,7323,5925,4283,5043,1857,5477,4570,3981,
销售费用(万元),54756,35918,18533,74391,48846,33268,15900,53065,40127,27491,54577,26336,54252,47997,40907,
管理费用(万元),64324,41871,21262,75102,55255,36451,17092,66797,51302,34516,74419,33811,75431,58217,54197,
财务费用(万元),26579,17047,7033,16861,20884,13920,9643,35631,29651,21218,37088,15325,31848,29773,29983,
资产减值损失(万元),2669,2441,342,11295,6059,3707,1551,7309,5556,4164,6645,5400,9465,6597,3126,
公允价值变动收益(万元),--,--,--,--,-73,-73,16,497,-827,-827,-424,--,-54,--,-185,
投资收益(万元),-270,-154,28,-125,426,206,143,-737,-392,-332,180,561,662,735,95,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),76859,46542,27871,106216,83333,60181,28790,80333,42406,25753,97173,65376,120581,71146,39361,
营业外收入(万元),1450,1161,855,6562,3861,2707,957,21554,7049,5994,4026,1484,2071,1042,4075,
营业外支出(万元),201,100,86,447,423,85,51,24127,23835,23813,323,84,4213,5143,--,
非流动资产处置损失(万元),11,11,9,48,45,50,41,40,18,18,80,46,254,0,--,
利润总额(万元),78107,47603,28640,112332,86772,62802,29696,77760,25620,7933,100876,66776,118439,67045,43437,
所得税费用(万元),6131,4248,3113,11326,9139,7138,2347,10019,4768,4178,17464,11005,20438,10029,6981,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),71976,43355,25527,101006,77632,55664,27349,67741,20851,3756,83411,55771,98001,57016,36456,
归属于母公司所有者的净利润(万元),71987,43362,25531,101022,77645,55674,27355,67761,20871,3764,83417,55771,98001,57016,36456,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,-5877,--,--,-7234,--,-3100,--,--,
少数股东损益(万元),-11,-7,-4,-16,-13,-9,-6,-20,-20,-8,-6,--,--,--,--,
基本每股收益,0.6,0.36,0.21,0.92,0.73,0.56,0.27,0.68,0.21,0.04,0.83,0.56,0.98,0.57,0.36,
稀释每股收益,0.6,0.36,0.21,0.92,0.73,0.56,0.27,0.68,0.21,0.04,0.83,0.56,0.98,0.57,0.36,
