报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,
营业总收入(万元),8205611,3667019,18008075,13985558,9131057,4090946,14406552,9137204,4970530,2087480,12344587,9527402,6608717,2738860,14177229,10478623,7009202,3524172,17303810,12206279,7664102,3421330,14947882,10883256,7169778,3358966,14587443,10761474,6596975,2823354,12099485,8857273,5977847,2905902,7026801,4506087,2798468,1394268,7672594,5868753,3960683,1522747,7618045,5457488,3661385,6482662,2782235,
营业收入(万元),8205611,3667019,18008075,13985558,9131057,4090946,14406552,9137204,4970530,2087480,12344587,9527402,6608717,2738860,14177229,10478623,7009202,3524172,17303810,12206279,7664102,3421330,14947882,10883256,7169778,3358966,14587443,10761474,6596975,2823354,12099485,8857273,5977847,2905902,7026801,4506087,2798468,1394268,7672594,5868753,3960683,1522747,7618045,5457488,3661385,6482662,2782235,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
营业总成本(万元),8107848,3658233,17757960,13704207,9005561,4018155,14333731,9167981,5006889,2125231,13035287,9827496,6767344,2831714,15936782,11099247,7471086,3769084,18159165,12748747,8051562,3631907,15958382,11486600,7609373,3518709,14630797,10680556,6560178,2781703,12098518,8855043,5951510,2835818,7624585,4991616,3282609,1646384,7675252,5542827,3626895,1338769,6197611,4279780,2797239,4798742,1834732,
营业成本(万元),7552742,3385680,16511100,12904937,8491349,3775190,13321061,8515892,4577636,1936123,11915804,9060039,6216692,2590583,13975121,10295752,6934282,3501292,16929085,11964079,7509428,3340402,14840644,10727750,7097993,3299770,13779029,10080815,6171253,2610761,11318836,8319328,5571416,2664757,6904569,4560587,2999698,1580912,6986463,5107497,3349579,1234083,5721700,3976646,2607344,4393070,1666400,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
研发费用(万元),13558,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,--,--,--,0,--,0,--,0,0,0,
营业税金及附加(万元),71084,32425,134213,95587,62756,30450,85963,27818,18331,7916,37927,29564,19948,9239,31585,22654,13908,5562,37430,25956,17217,8323,29002,19245,11906,4749,35957,25936,16537,7616,34230,25337,17169,8015,27934,18159,10641,4165,33684,28491,20102,8377,53937,40261,26814,50338,25313,
