报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),26904,17833,34406,24084,9425,37794,39357,38063,
营业收入(万元),26904,17833,34406,24084,9425,37794,39357,38063,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),22726,14970,30889,22669,8881,33233,36368,34664,
营业成本(万元),19054,12634,24560,17633,7108,26495,28949,27899,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),268,231,306,165,75,213,189,176,
销售费用(万元),359,256,683,466,155,494,412,355,
管理费用(万元),3378,2177,4610,3563,1087,5272,4441,4538,
财务费用(万元),530,365,431,410,211,955,917,1465,
资产减值损失(万元),-864,-692,300,431,244,308,1460,232,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,--,2,2,2,155,-15,28,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,-126,-47,-132,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),4178,2862,3519,1417,546,4212,2974,3427,
营业外收入(万元),243,184,274,201,42,233,338,365,
营业外支出(万元),303,301,112,55,35,206,153,129,
非流动资产处置损失(万元),2,--,3,3,--,101,0,--,
利润总额(万元),4118,2746,3682,1564,553,4238,3158,3663,
所得税费用(万元),628,425,399,184,84,571,366,483,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),3490,2320,3283,1380,469,3668,2792,3180,
归属于母公司所有者的净利润(万元),3490,2320,3276,1373,462,3655,2810,3226,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,7,7,7,13,-18,-46,
基本每股收益,0.42,0.28,0.39,0.16,0.06,0.56,0.43,0.5,
稀释每股收益,0.42,0.28,0.39,0.16,0.06,0.56,0.43,0.5,
