报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),79326,50582,81611,57566,63261,56263,
营业收入(万元),79326,50582,81611,57566,63261,56263,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),68788,43973,67318,47626,56626,51172,
营业成本(万元),53825,34242,53395,37589,45201,39622,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),654,420,708,620,452,440,
销售费用(万元),4592,2988,4689,3327,3144,2525,
管理费用(万元),7827,5198,8842,6291,8052,7779,
财务费用(万元),852,411,-895,-470,-704,518,
资产减值损失(万元),1038,714,579,268,482,287,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),76,76,20,1,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),11031,6920,14313,9941,6635,5092,
营业外收入(万元),38,37,529,388,447,401,
营业外支出(万元),24,21,163,17,72,27,
非流动资产处置损失(万元),17,15,17,13,68,25,
利润总额(万元),11046,6936,14679,10312,7010,5466,
所得税费用(万元),1731,1018,2366,1694,1051,949,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),9314,5918,12313,8618,5960,4517,
归属于母公司所有者的净利润(万元),9314,5918,12313,8618,5960,4517,
被合并方在合并前实现净利润(万元),--,--,--,--,129,115,
少数股东损益(万元),--,--,--,--,--,--,
基本每股收益,1.01,0.64,1.41,1,--,--,
稀释每股收益,1.01,0.64,1.41,1,--,--,
