报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
营业总收入(万元),3082562,24289711,11710050,6981048,1858923,24047724,11705480,7479529,1461131,19554913,7959621,5026680,889434,14638800,6313959,4096190,949722,13541879,6341532,4139035,1399991,10311625,4612822,3072299,1034591,7178275,2930837,1998884,797026,5071385,2238043,1676633,750497,4888101,2954384,2180865,816432,4099178,2254191,1725501,640044,3552661,1417347,1109652,411414,1791833,850870,666972,230387,1061420,
营业收入(万元),3082562,24289711,11710050,6981048,1858923,24047724,11705480,7479529,1461131,19554913,7959621,5026680,889434,14638800,6313959,4096190,949722,13541879,6341532,4139035,1399991,10311625,4612822,3072299,1034591,7178275,2930837,1998884,797026,5071385,2238043,1676633,750497,4888101,2954384,2180865,816432,4099178,2254191,1725501,640044,3552661,1417347,1109652,411414,1791833,850870,666972,230387,1061420,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业总成本(万元),2750323,19832384,9979995,5766867,1728994,20646729,10351367,6623309,1334969,16598826,6872362,4246355,808633,12557892,5521417,3541767,820971,11216207,5396002,3467414,1164156,8302317,3863828,2518134,842399,5671638,2378348,1560292,630707,3958184,1787251,1313695,602980,4112244,2483703,1777806,696601,3485566,1887138,1394702,536394,2805949,1120074,854675,328217,1466353,659456,495230,177794,869124,
营业成本(万元),2029190,16007992,7994337,4701502,1304887,16974240,8600359,5511749,996770,13815063,5646716,3496081,587011,10255706,4415711,2829841,570628,9279765,4303079,2748888,880159,6542161,2888554,1927445,602230,4322816,1704442,1099273,406877,3007350,1369615,1023975,474912,3451472,2061900,1500730,540408,2500527,1341616,1017141,392591,2060734,751631,604632,228051,1144126,517976,400482,142599,690590,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业税金及附加(万元),255226,1972223,944371,516069,135148,2197875,1008022,628456,126534,1798043,692313,441174,75389,1316675,572975,374023,90526,1154500,585181,410927,132726,1091630,524954,330068,114641,777879,349217,252309,109414,562411,222589,169834,74551,360258,220999,163582,85557,453387,248004,203914,64768,411577,170062,131017,51235,157954,50302,39319,13659,77948,
销售费用(万元),127615,626198,365852,210270,100834,516072,332775,204522,72660,413827,267258,154869,68724,452189,257525,154229,71055,386471,232167,143110,62340,305638,210494,123838,58224,255678,168937,95675,39352,207909,100673,60640,29329,151372,93448,55145,23858,186035,113378,70918,27841,119454,71114,40696,18410,62572,37260,21778,9530,46629,
管理费用(万元),221820,886571,533065,260462,147747,680056,317148,217647,114282,474525,226447,141823,71285,390262,209287,140909,66524,300284,188110,119221,57273,278031,159651,84380,50646,257821,127136,87024,56268,184637,86629,56327,30925,144199,88737,56903,28281,153080,100371,81674,37161,176377,98629,58613,27908,85946,45159,29118,9232,49537,
财务费用(万元),104004,207526,132613,71828,36981,159207,65705,42712,24182,47774,34103,9973,4434,64084,60339,39676,18348,89172,82541,37478,29950,76476,67041,42371,12931,50981,19488,19167,14924,50423,29715,26133,10559,57368,42434,23710,18432,65725,27286,20077,13309,35950,27908,17815,2593,14015,6605,2795,1187,1970,
资产减值损失(万元),12468,131874,9756,6735,3398,119279,27359,18223,542,49595,5524,2436,1789,78976,5581,3089,3890,6015,4923,7790,1707,8382,13135,10032,3728,6463,9128,6844,3871,-54545,-21969,-23213,-17295,-52424,-23815,-22265,65,126811,56484,977,724,1857,729,1903,20,1740,2153,1737,1587,2450,
公允价值变动收益(万元),-1660,--,--,--,--,--,--,--,--,--,--,--,0,1101,280,289,-57,-57,-39,146,146,-872,-927,-227,-1035,-287,-1045,363,-194,-1505,-1628,-581,-108,244,169,-185,-215,1926,1965,-302,-1532,-2225,-130,171,59,130,99,99,0,0,
投资收益(万元),-33482,624456,338712,151984,25972,501384,224617,134240,38498,356191,148111,91569,36182,415926,162944,130913,73082,100519,51556,38754,3533,92869,67227,47295,12532,69972,8864,2833,-1235,77793,51650,49474,6786,92408,31424,16211,3543,20941,6814,2250,697,20803,477,-1029,-297,17081,12925,9956,6523,-13,
对联营企业和合营企业的投资收益(万元),-34339,456916,241709,147253,24118,493072,204683,127233,8581,239309,123260,91104,30523,184037,88875,56844,23619,99940,50936,38763,3505,88979,62667,42252,7626,64399,2890,777,-1780,29170,8528,9444,895,54186,17959,14504,1897,20974,7466,2178,697,12864,-3183,0,-293,6010,2201,0,803,-208,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业利润(万元),297106,5081292,2068768,1366165,155901,3902378,1578730,990461,164660,3312278,1235370,871893,116982,2497936,955766,685626,201775,2426134,997047,710521,239514,2101304,815293,601233,203690,1576322,560308,441787,164889,1189489,500814,411831,154195,868508,502274,419085,123159,636479,375833,332748,102814,765290,297620,254119,82959,342691,204439,181797,59117,192283,
营业外收入(万元),6355,72329,42039,32399,4906,39831,23051,11451,5689,85543,20505,9830,3809,35187,33871,30475,3713,11897,7816,5571,1853,14465,7593,4941,2852,7619,6529,4237,2970,7173,7204,4293,1849,7068,7515,4592,1564,5746,4624,4097,642,3146,1387,1004,578,2131,1077,799,292,2826,
