报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),107841,66141,37792,183587,132277,92483,40854,231940,268551,122139,220375,167762,90889,
营业收入(万元),107841,66141,37792,183587,132277,92483,40854,231940,268551,122139,220375,167762,90889,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),104739,63977,36324,175607,127244,88819,39092,221700,250235,110851,204240,143519,73830,
营业成本(万元),88604,54239,31368,150501,110769,77420,33803,194048,215393,95418,167061,125517,62661,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),609,381,207,1070,641,442,199,1062,1486,824,966,1050,537,
销售费用(万元),1960,1314,601,2736,1772,1280,569,3763,4938,1484,3501,2753,1614,
管理费用(万元),13501,8565,4983,20677,14813,10215,5305,22198,24997,11091,30905,13096,8776,
财务费用(万元),25,-280,-132,-455,-403,-336,-1,-1112,134,39,-13,96,-63,
资产减值损失(万元),39,-243,-703,1078,-347,-202,-784,1741,3287,1994,1819,1007,304,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,12,75,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3679,2733,1468,7980,5033,3664,1762,10240,18316,11289,16136,24255,17134,
营业外收入(万元),10,5,404,746,737,329,9,709,205,125,151,109,109,
营业外支出(万元),69,25,13,281,279,220,--,51,33,22,88,7,91,
非流动资产处置损失(万元),39,4,1,182,179,179,--,3,12,--,88,--,--,
利润总额(万元),3620,2713,1859,8445,5491,3773,1771,10898,18489,11392,16198,24357,17152,
所得税费用(万元),406,207,264,873,510,318,299,2141,2738,2050,4385,3976,4533,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3214,2506,1595,7571,4981,3455,1471,8758,15750,9343,11813,20382,12619,
归属于母公司所有者的净利润(万元),3446,2676,1629,7219,4743,3238,1290,8237,15200,9023,11537,20352,12619,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,-569,1439,-108,
少数股东损益(万元),-232,-170,-34,353,238,217,181,520,550,319,276,30,--,
基本每股收益,0.16,0.13,0.09,0.4,0.26,0.18,0.07,0.46,0.84,0.5,--,--,--,
稀释每股收益,0.16,0.13,0.09,0.4,0.26,0.18,0.07,0.46,0.84,0.5,--,--,--,
