报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2005-12-31,
营业总收入(万元),18911,110364,80882,52996,22598,109593,80844,53593,25920,112214,74681,53530,16351,70747,42450,29386,13920,68602,47856,36711,14800,79615,55111,37264,17904,92519,71158,48675,18704,105954,69079,44010,13894,92390,57535,38737,10552,83202,50044,34378,13164,75397,50688,30371,48223,20558,27746,9848,
营业收入(万元),18911,110364,80882,52996,22598,109593,80844,53593,25920,112214,74681,53530,16351,70747,42450,29386,13920,68602,47856,36711,14800,79615,55111,37264,17904,92519,71158,48675,18704,105954,69079,44010,13894,92390,57535,38737,10552,83202,50044,34378,13164,75397,50688,30371,48223,20558,27746,9848,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
营业总成本(万元),21561,136537,89473,57035,24087,119822,85308,53789,26234,109644,72278,51331,17735,81535,53152,37058,17021,88860,61993,39501,15700,72571,47968,31282,16272,80450,60786,40021,16623,88251,60884,38777,12091,77127,49556,33243,9253,70126,40934,28208,11104,64345,42525,25247,40347,17796,25096,9001,
营业成本(万元),15354,94895,65517,41916,18130,87107,61786,40222,19836,82661,54493,39361,12221,55038,34044,23553,10964,62154,39767,28243,10478,58137,37353,24824,12209,65258,48186,32985,12944,73923,48620,30265,9956,63318,40824,26676,7439,57619,35887,24613,9432,55513,36912,21978,35107,15577,21594,7926,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,--,--,
